,condition,label,sentence
33,omelet,neutral,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
34,food,negative,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it."
35,drinks,neutral,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
36,check,neutral,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
37,service,conflict,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!"
38,design,positive,The design and atmosphere is just as good.
39,atmosphere,positive,The design and atmosphere is just as good.
40,ambience,positive,The design and atmosphere is just as good.
41,cuisine,positive,He has visited Thailand and is quite expert on the cuisine.
42,food,positive,He has visited Thailand and is quite expert on the cuisine.
43,anecdotes/miscellaneous,positive,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.
44,pizza,positive,The pizza is the best if you like thin crusted pizza.
45,thin crusted pizza,neutral,The pizza is the best if you like thin crusted pizza.
46,food,positive,The pizza is the best if you like thin crusted pizza.
47,anecdotes/miscellaneous,positive,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!
48,anecdotes/miscellaneous,neutral,"He can't help, they're bought up so fast."
49,ambience,negative,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume."
50,anecdotes/miscellaneous,neutral,"i have eaten here a handful of times, for no reason besides sheer convenience."
51,service,positive,Obviously run by folks who know a pie.
52,anecdotes/miscellaneous,negative,We were very disappointed.
53,anecdotes/miscellaneous,positive,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
54,price,positive,IT IS DEFINITELY SPECIAL AND AFFORDABLE.
55,anecdotes/miscellaneous,positive,I really liked this place.
56,anecdotes/miscellaneous,positive,I will be going back very soon.
57,interior decoration,positive,"All the money went into the interior decoration, none of it went to the chefs."
58,chefs,negative,"All the money went into the interior decoration, none of it went to the chefs."
59,ambience,positive,"All the money went into the interior decoration, none of it went to the chefs."
60,food,negative,"All the money went into the interior decoration, none of it went to the chefs."
61,seats,negative,The seats are uncomfortable if you are sitting against the wall on wooden benches.
62,ambience,negative,The seats are uncomfortable if you are sitting against the wall on wooden benches.
63,seltzer with lime,neutral,"I asked for seltzer with lime, no ice."
64,food,neutral,"I asked for seltzer with lime, no ice."
65,price,positive,It was pretty inexpensive too.
66,anecdotes/miscellaneous,negative,Will not be back.
67,pickles,positive,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
68,selection of meats and seafoods,positive,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
69,food,positive,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods."
70,dishes,neutral,My suggestion is to eat family style because you'll want to try the other dishes.
71,eat family style,positive,My suggestion is to eat family style because you'll want to try the other dishes.
72,food,neutral,My suggestion is to eat family style because you'll want to try the other dishes.
73,vibe,positive,"Best of all is the warm vibe, the owner is super friendly and service is fast."
74,owner,positive,"Best of all is the warm vibe, the owner is super friendly and service is fast."
75,service,positive,"Best of all is the warm vibe, the owner is super friendly and service is fast."
76,service,positive,"Best of all is the warm vibe, the owner is super friendly and service is fast."
77,ambience,positive,"Best of all is the warm vibe, the owner is super friendly and service is fast."
78,price,negative,This isn't a value joint.
79,delivery,negative,Faan's got a great concept but a little rough on the delivery.
80,anecdotes/miscellaneous,positive,Faan's got a great concept but a little rough on the delivery.
81,service,negative,Faan's got a great concept but a little rough on the delivery.
82,food,positive,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
83,atmosphere,positive,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
84,service,positive,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
85,food,positive,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
86,service,positive,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
87,ambience,positive,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat."
88,food,positive,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
89,prices,positive,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
90,food,positive,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
91,price,positive,"Great food at REASONABLE prices, makes for an evening that can't be beat!"
92,anecdotes/miscellaneous,positive,Look foward to trying the Ruben upon returning.
93,anecdotes/miscellaneous,neutral,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.
94,anecdotes/miscellaneous,neutral,We usually go to the Chart House to celebrate a birthday or anniversary.
95,interior decor,positive,this little place has a cute interior decor and affordable city prices.
96,prices,positive,this little place has a cute interior decor and affordable city prices.
97,ambience,positive,this little place has a cute interior decor and affordable city prices.
98,price,positive,this little place has a cute interior decor and affordable city prices.
99,anecdotes/miscellaneous,positive,You'll adore it.
100,wine,positive,Two words: Free wine.
101,price,positive,Two words: Free wine.
102,price,positive,The price is reasonable although the service is poor.
103,service,negative,The price is reasonable although the service is poor.
104,service,negative,The price is reasonable although the service is poor.
105,price,positive,The price is reasonable although the service is poor.
106,quantity,positive,"The quantity is also very good, you will come out satisfied."
107,food,positive,"The quantity is also very good, you will come out satisfied."
108,anecdotes/miscellaneous,negative,I have been to Roth's twice and both times were very disappointing.
109,anecdotes/miscellaneous,positive,Worth visiting the 1st Ave spot because it is the original store.
110,sushi,neutral,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
111,sushi bar,neutral,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
112,anecdotes/miscellaneous,neutral,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action."
113,ambience,positive,"Raga's is a romantic, cozy restaurant."
114,fried rice,positive,The fried rice is amazing here.
115,food,positive,The fried rice is amazing here.
116,mussels,positive,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
117,puff pastry goat cheese,positive,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
118,salad with a delicious dressing,positive,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
119,hanger steak au poivre,positive,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
120,courses,neutral,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
121,food,positive,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world."
122,indian food,positive,it's a perfect place to have a amanzing indian food.
123,food,positive,it's a perfect place to have a amanzing indian food.
124,service,positive,The place is so cool and the service is prompt and curtious.
125,place,positive,The place is so cool and the service is prompt and curtious.
126,service,positive,The place is so cool and the service is prompt and curtious.
127,ambience,positive,The place is so cool and the service is prompt and curtious.
128,broth with noodles,positive,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
129,food,positive,At the end you're left with a mild broth with noodles that you can slurp out of a cup.
130,meal,positive,I just wonder how you can have such a delicious meal for such little money.
131,money,positive,I just wonder how you can have such a delicious meal for such little money.
132,price,positive,I just wonder how you can have such a delicious meal for such little money.
133,food,positive,I just wonder how you can have such a delicious meal for such little money.
134,food,conflict,The food was delicious but do not come here on a empty stomach.
135,food,conflict,The food was delicious but do not come here on a empty stomach.
136,wine list,positive,The wine list is excellent.
137,food,positive,The wine list is excellent.
138,food,positive,so garantuan that you can't fit them in a toaster.
139,Thai food,positive,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
140,food,positive,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course)."
141,glass of wine,neutral,They wouldnt even let me finish my glass of wine before offering another.
142,service,positive,They wouldnt even let me finish my glass of wine before offering another.
143,anecdotes/miscellaneous,positive,I highly recommend the Sophia pizza.
144,specials,neutral,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
145,service,negative,"Whem asked, we had to ask more detailed questions so that we knew what the specials were."
146,lunch,neutral,This is a consistently great place to dine for lunch or dinner.
147,dinner,neutral,This is a consistently great place to dine for lunch or dinner.
148,dine,positive,This is a consistently great place to dine for lunch or dinner.
149,anecdotes/miscellaneous,positive,This is a consistently great place to dine for lunch or dinner.
150,atmosphere,positive,"Nice atmosphere, the service was very pleasant and the desert was good."
151,service,positive,"Nice atmosphere, the service was very pleasant and the desert was good."
152,desert,positive,"Nice atmosphere, the service was very pleasant and the desert was good."
153,food,positive,"Nice atmosphere, the service was very pleasant and the desert was good."
154,service,positive,"Nice atmosphere, the service was very pleasant and the desert was good."
155,ambience,positive,"Nice atmosphere, the service was very pleasant and the desert was good."
156,anecdotes/miscellaneous,positive,All the people that I bring there go back on their own and bring THEIR friends!
157,bar,positive,After really enjoying ourselves at the bar we sat down at a table and had dinner.
158,table,neutral,After really enjoying ourselves at the bar we sat down at a table and had dinner.
159,dinner,neutral,After really enjoying ourselves at the bar we sat down at a table and had dinner.
160,anecdotes/miscellaneous,positive,After really enjoying ourselves at the bar we sat down at a table and had dinner.
161,service,positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
162,food,positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
163,atmosphere,positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
164,environment,positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
165,food,positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
166,service,positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
167,ambience,positive,"Fabulous service, fantastic food, and a chilled out atmosphere and environment."
168,anecdotes/miscellaneous,negative,Not what I wanted to hear.
169,lasagnette appetizer,positive,Try the lasagnette appetizer.
170,food,positive,Try the lasagnette appetizer.
171,price,negative,"Pricey, but worth a try, at least once."
172,anecdotes/miscellaneous,positive,"Pricey, but worth a try, at least once."
173,anecdotes/miscellaneous,negative,"I've been there a few times, and I usually end up sitting next to some pretty odd people."
174,beer selection,positive,I liked the beer selection!
175,food,positive,I liked the beer selection!
176,food,positive,"Great food, good size menu, great service and an unpretensious setting."
177,menu,positive,"Great food, good size menu, great service and an unpretensious setting."
178,service,positive,"Great food, good size menu, great service and an unpretensious setting."
179,setting,positive,"Great food, good size menu, great service and an unpretensious setting."
180,food,positive,"Great food, good size menu, great service and an unpretensious setting."
181,service,positive,"Great food, good size menu, great service and an unpretensious setting."
182,ambience,positive,"Great food, good size menu, great service and an unpretensious setting."
183,dinner,positive,Go here for a romantic dinner but not for an all out wow dining experience.
184,dining,positive,Go here for a romantic dinner but not for an all out wow dining experience.
185,anecdotes/miscellaneous,conflict,Go here for a romantic dinner but not for an all out wow dining experience.
186,anecdotes/miscellaneous,positive,Can't wait to go back.
187,Dosa,neutral,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
188,anecdotes/miscellaneous,neutral,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds.
189,Wine list selection,positive,Wine list selection is good and wine-by-the-glass was generously filled to the top.
190,wine-by-the-glass,positive,Wine list selection is good and wine-by-the-glass was generously filled to the top.
191,food,positive,Wine list selection is good and wine-by-the-glass was generously filled to the top.
192,menu,positive,"With the great variety on the menu , I eat here often and never get bored ."
193,food,positive,"With the great variety on the menu , I eat here often and never get bored ."
194,menu,negative,The menu is very limited - i think we counted 4 or 5 entrees.
195,entrees,negative,The menu is very limited - i think we counted 4 or 5 entrees.
196,food,negative,The menu is very limited - i think we counted 4 or 5 entrees.
197,anecdotes/miscellaneous,positive,"If you are a carnivore, come hungry and you will leave more satisfied than you have ever been."
198,menu,negative,The menu is limited but almost all of the dishes are excellent.
199,dishes,positive,The menu is limited but almost all of the dishes are excellent.
200,food,conflict,The menu is limited but almost all of the dishes are excellent.
201,sake martini,negative,Not too crazy about their sake martini.
202,food,negative,Not too crazy about their sake martini.
203,bagels,positive,"Great bagels, spreads and a good place to hang out in."
204,spreads,positive,"Great bagels, spreads and a good place to hang out in."
205,food,positive,"Great bagels, spreads and a good place to hang out in."
206,anecdotes/miscellaneous,positive,"Great bagels, spreads and a good place to hang out in."
207,service,conflict,"The service varys from day to day- sometimes they're very nice, and sometimes not."
208,service,conflict,"The service varys from day to day- sometimes they're very nice, and sometimes not."
209,ambience,positive,"whoever the jazz duo was, they were on POINT."
210,table,neutral,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
211,service,positive,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.
212,price,positive,This place is a great bargain.
213,anecdotes/miscellaneous,positive,We happened upon this place purely by accident and were pleased with the results.
214,food,positive,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
215,food,positive,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
216,anecdotes/miscellaneous,negative,"Unfortunately, the food is outstanding, but everything else about this restaurant is the pits."
217,anecdotes/miscellaneous,positive,Deff recimmend Bukhara they also have opened two new locations guess ill try them out.
218,meal,positive,We always have a delicious meal and always leave feeling satisfied.
219,food,positive,We always have a delicious meal and always leave feeling satisfied.
220,ingredients,neutral,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
221,chopsticks,neutral,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
222,food,neutral,"Dip the ingredients in with your chopsticks, swirl them around, and eat."
223,garden terrace,positive,First went here to enjoy their garden terrace.
224,ambience,positive,First went here to enjoy their garden terrace.
225,food,conflict,"My husbands was perfect, my was well done and dry."
226,service,positive,"Everyone I have spoken too there is super friendly, helpful, and willing to the extra mile for a customer."
227,pizza,positive,The pizza was pretty good and huge.
228,food,positive,The pizza was pretty good and huge.
229,anecdotes/miscellaneous,positive,Sapphire is the only Indian restaurant I go to when I'm in NYC.
230,cuisine,neutral,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
231,food,neutral,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei."
232,anecdotes/miscellaneous,positive,I heartily recommend.
233,anecdotes/miscellaneous,positive,Heartland Brewery is by far one of the best places in NYC to make new friends and catch up with old ones.
234,atmosphere,positive,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
235,ambience,positive,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.
236,service,positive,They are often crowded on the weekends but they are efficient and accurate with their service.
237,crowded,negative,They are often crowded on the weekends but they are efficient and accurate with their service.
238,service,positive,They are often crowded on the weekends but they are efficient and accurate with their service.
239,ambience,negative,They are often crowded on the weekends but they are efficient and accurate with their service.
240,dish,negative,All my co-workers were amazed at how small the dish was.
241,food,negative,All my co-workers were amazed at how small the dish was.
242,atmosphere,positive,"The atmosphere is unheralded, the service impecible, and the food magnificant."
243,service,positive,"The atmosphere is unheralded, the service impecible, and the food magnificant."
244,food,positive,"The atmosphere is unheralded, the service impecible, and the food magnificant."
245,food,positive,"The atmosphere is unheralded, the service impecible, and the food magnificant."
246,service,positive,"The atmosphere is unheralded, the service impecible, and the food magnificant."
247,ambience,positive,"The atmosphere is unheralded, the service impecible, and the food magnificant."
248,grilled branzino,negative,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
249,food,negative,"We ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat."
250,wait staff,positive,"The wait staff is friendly, and the food has gotten better and better!"
251,food,positive,"The wait staff is friendly, and the food has gotten better and better!"
252,food,positive,"The wait staff is friendly, and the food has gotten better and better!"
253,service,positive,"The wait staff is friendly, and the food has gotten better and better!"
254,anecdotes/miscellaneous,positive,"This place, which is only a few months old, is perhaps Queens' biggest secret!"
255,vibe,positive,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
256,French food,positive,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
257,packed,negative,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
258,food,positive,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
259,ambience,conflict,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area."
260,anecdotes/miscellaneous,positive,This place is so much fun.
261,anecdotes/miscellaneous,positive,I was glad I did.
262,pizza,positive,Right off the L in Brooklyn this is a nice cozy place with good pizza.
263,place,positive,Right off the L in Brooklyn this is a nice cozy place with good pizza.
264,food,positive,Right off the L in Brooklyn this is a nice cozy place with good pizza.
265,ambience,positive,Right off the L in Brooklyn this is a nice cozy place with good pizza.
266,service,negative,I've never been treated so rudely.
267,anecdotes/miscellaneous,positive,I'll be back soon.
268,pre-theater menu,positive,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
269,food,positive,Le Pere Pinard has a $15 pre-theater menu that is outstanding.
270,anecdotes/miscellaneous,positive,Went inside and I started to get excited.
271,delivery,negative,I also ordered for delivery and the restaurant forgot half the order.
272,order,negative,I also ordered for delivery and the restaurant forgot half the order.
273,service,negative,I also ordered for delivery and the restaurant forgot half the order.
274,server,negative,Our server checked on us maybe twice during the entire meal.
275,meal,neutral,Our server checked on us maybe twice during the entire meal.
276,service,negative,Our server checked on us maybe twice during the entire meal.
277,anecdotes/miscellaneous,positive,"However, it is jus too good to not praise it."
278,anecdotes/miscellaneous,positive,We have been to Montparnasse many times and return often for good reason.
279,scents,negative,The strong scents coming from the left and right of me negatively affected my taste buds.
280,anecdotes/miscellaneous,negative,The strong scents coming from the left and right of me negatively affected my taste buds.
281,lobster sandwich,positive,We had the lobster sandwich and it was FANTASTIC.
282,food,positive,We had the lobster sandwich and it was FANTASTIC.
283,anecdotes/miscellaneous,positive,It's somewhere you can eat and be happy.
284,anecdotes/miscellaneous,positive,"If you wrote a bad review, it's because you don't understand what Rao's is all about."
285,check,negative,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
286,service,negative,"Had we been stalling I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!"
287,anecdotes/miscellaneous,positive,but overall i give it a 10
288,Spider Roll,conflict,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
289,price,positive,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
290,shell crab,positive,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
291,food,positive,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
292,price,positive,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them."
293,Deep Fried Skewers,positive,Deep Fried Skewers are good and still rare to find in NYC.
294,food,positive,Deep Fried Skewers are good and still rare to find in NYC.
295,reservations,neutral,"I have tried to make reservations, but both times, the hostess didn't have my name."
296,hostess,negative,"I have tried to make reservations, but both times, the hostess didn't have my name."
297,service,negative,"I have tried to make reservations, but both times, the hostess didn't have my name."
298,rice dishes,positive,I also recommend the rice dishes or the different varieties of congee (rice porridge).
299,congee (rice porridge),positive,I also recommend the rice dishes or the different varieties of congee (rice porridge).
300,food,positive,I also recommend the rice dishes or the different varieties of congee (rice porridge).
301,tuna tartar appetizer,positive,Their tuna tartar appetizer is to die for.
302,food,positive,Their tuna tartar appetizer is to die for.
303,anecdotes/miscellaneous,positive,This was one of the BEST restaurants I've ever been to.
304,anecdotes/miscellaneous,negative,This restaurant used to be pretty decent.
305,Food,conflict,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
306,chef,positive,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
307,fish dishes,positive,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
308,soups,positive,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
309,kitchen,positive,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
310,cuisine,positive,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
311,food,positive,"An oasis of refinement:  Food, though somewhat uneven, often reaches the pinnacles of new American fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups."
312,wine,positive,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
313,french fare,positive,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
314,cheese,positive,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
315,food,positive,"If you love wine and cheese and delicious french fare, you'll love Artisanal!"
316,Indian food,positive,I love Indian food and consider myself to be quite an expert on it.
317,food,positive,I love Indian food and consider myself to be quite an expert on it.
318,baby pizzas,neutral,Some baby pizzas get their wish.
319,food,neutral,Some baby pizzas get their wish.
320,food,positive,Plenty of choices to make your own creation.
321,ambience,negative,It was tiny and I felt like I was eating in someone's living room.
322,anecdotes/miscellaneous,neutral,I was there on sat.
323,waiting,negative,Overall A oh ya even though there is waiting it is deff worth it
324,anecdotes/miscellaneous,positive,Overall A oh ya even though there is waiting it is deff worth it
325,service,negative,Overall A oh ya even though there is waiting it is deff worth it
326,lava cake dessert,positive,The lava cake dessert was incredible and I recommend it.
327,food,positive,The lava cake dessert was incredible and I recommend it.
328,baby pizzas,neutral,VT is what baby pizzas hope to be when they grow up.
329,anecdotes/miscellaneous,positive,VT is what baby pizzas hope to be when they grow up.
330,service,negative,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
331,food,negative,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
332,managers,negative,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
333,food,negative,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
334,service,negative,"From the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible."
335,food,positive,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
336,food,positive,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
337,food,positive,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
338,price,positive,Lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for FOUR DOLLARS.
339,table,negative,The last time I went we were seated at a table in a corridor next to the kitchen.
340,anecdotes/miscellaneous,negative,The last time I went we were seated at a table in a corridor next to the kitchen.
341,selection of wines,positive,good selection of wines ranging from affordable to high end.
342,food,positive,good selection of wines ranging from affordable to high end.
343,price,conflict,good selection of wines ranging from affordable to high end.
344,Italian decor,positive,"Nice restaurant overall, with classic upscale Italian decor."
345,ambience,positive,"Nice restaurant overall, with classic upscale Italian decor."
346,food,negative,Not impressed with the food.
347,food,negative,Not impressed with the food.
348,dining experience,positive,The entire dining experience was wonderful!
349,anecdotes/miscellaneous,positive,The entire dining experience was wonderful!
350,wine selection,positive,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
351,reservation,neutral,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
352,food,positive,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
353,anecdotes/miscellaneous,positive,The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.
354,Service,positive,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.
