index,answer1,answer2,condition,label
141,Crouching.,Mid-air,The position of riding.,2
142,Room Setup,Men sitting,The activity.,5
143,Dog.,No animal mentioned.,The animal.,4
144,Dessert,Food display,The object's function.,4
145,Dessert.,Fruit.,The type of food.,1
146,Many buses.,Two,The number of vehicles.,4
147,Bus,Bus,The type of vehicle.,4
148,Unknown.,Brown,The color of the animal.,4
149,Horses,Horses,The name of the animal.,3
150,Green and white,The color of the bus is unspecified.,The color of the bus.,3
151,Double decker bus,Bus,The automobile.,2
152,Horses,Horse,The animal.,5
153,"Black, brown",Brown,The color of animal.,4
154,Skateboard,Riding a skateboard on a ramp.,The skateboard.,5
155,Four people.,One person.,The number of people.,2
156,Dinner vegetables,Raw vegetables,The vegetables.,4
157,Table with vegetables and dishes,Dip containers.,The vessel.,2
158,Office Setup,Jacket,The object.,4
159,Six objects,One,The number of object.,3
160,Double layered.,Double decker buses,The objects are buses.,2
161,Bus,Red buses,One of the objects are parked.,2
162,Motorcycle riding,Crossing street,The activity of people.,5
163,Motorcycling,Motorcycling,The sport.,4
164,Skiing,Skiing,The type of sport.,3
165,3 people,One person.,The number of people.,2
166,Wine glasses,Wine glasses,Presence of wine glass.,4
167,Food.,Table Setting,Presence of food.,2
168,Airplane boat.,In the water,The airplanes.,3
169,Beach or Water Sports,Airplanes on water.,The activity.,3
170,Pink,Blue,The color of the object.,4
171,Baby's Room,Bedroom,The name of the place.,3
172,Male,Mixed Gender,The gender of the people.,5
173,Sitting on benches,Standing,The posture of the people.,3
174,Zebra,Zebra,The name of the animal.,5
175,Embracing,Family bonding,The activity of the animal.,5
176,One person.,Multiple,The number of people.,4
177,Beach leisure.,Swimming.,The activity of people.,2
178,Cat,Cat,The type of animal.,2
179,Perched,Supine,The animal's posture.,1
180,Residential,Residential,The building type.,4
181,Modern Bedroom,Living Room,The room type.,1
182,Edible Plate,Bowl,The type of dishware.,4
183,Banana,Bananas,A monkey's favorite food.,4
184,On plate.,In front,The location of the utensil.,3
185,Fork,Fork,The utensils.,2
186,Vegetarian pizza,Cheese pizza.,The name of dish.,5
187,Cutting wheel,Sliced cheese pizza,The cutting product.,1
188,Beside wood wall,Yellow tiled kitchen,The location.,5
189,Fridge,Refrigerator,The appliance.,5
190,Mountain ski resort.,Snowy ski slope,The setting.,5
191,Downhill Skiing,Snowboarding,The sport.,3
192,Giraffe,Giraffe,The animal.,5
193,Zoo enclosure,Savannah,The setting.,3
194,Clay court.,Clay court,The type of court.,5
195,Unknown,Walking,The speed of the person.,2
196,Colorful Light Display,Visual display.,The type of show.,3
197,Red,Signal and Street Lights,The name of the light.,2
198,Video Games,Gaming,The type of play.,5
199,2 people,Three people.,The number of person.,1
200,Zero,One,The number of animal.,2
201,Sandwich and fries.,Hot Dog,The type of food.,1
202,Bathroom,Small bathroom,The bathroom.,5
203,Toilet.,Blue,The different toilet.,4
204,Desk Setup,Office workstation,The name of the product.,4
205,Black,Blue,The color of product.,4
206,Contrails.,Multicolored.,The color of smoke.,5
207,Aerial formation,Air Show,The place are activity.,3
208,Bed with satchel.,White Curtains,The bed with accessories.,5
209,Bedroom,Blue couch,The room with bed.,3
210,Cattle,Cows,The name of the animal.,5
211,Coastal pasture,Grass field,The name of the place.,4
212,One teddy bear,Two,The number of teddy bears.,4
213,Bath toy,Red suit,The teddy bear.,3
214,2 furniture pieces,One cabinet door missing,The number of object.,3
215,Furniture layout,Missing cabinet door,The kitchen.,3
216,Beach-themed bedroom,Bedroom,The type of room.,4
217,Bedroom,Bedroom,The living room of person.,4
218,Store,Table,The location of the child.,2
219,Doughnut,Doughnut,The food being eaten.,2
220,Trailer,Boat.,The carrying object.,4
221,Toy truck.,Toy-like appearance,The truck is on the road.,2
222,Tennis,Tennis,The name of the game.,5
223,Blue and black.,Yellow,The color of the outfit.,1
224,Kitchen,Kitchen,The type of room.,5
225,Kitchen items,Kitchen items,The items in the kitchen.,4
226,Apple and sandwich.,Sandwich,The name of the dish.,4
227,"Apple, Sandwich",Sandwich.,The name of the things.,3
228,Driving and smoking,Dog pretending to drive,The activity of people.,4
229,Yellow,No color mentioned.,The color of object.,2
230,Anti-hate message,Road regulations,The meaning of the sign.,4
231,Two.,Multiple,The number of signs.,2
232,Assorted wooden clocks,Six items.,The number of product.,2
233,Wooden Clocks,Wall decor,The name of the product.,1
234,dog,Dog,The name of the animal.,4
235,Bedroom,Bed,The name of the place.,2
236,One individual,One,Number of people.,4
237,Laptop,Desktop,Type of computer.,2
238,Tennis,Tennis,The sport.,5
239,Service.,Preparation.,The stage of the game.,4
240,Table,Table,The place of the dish.,4
241,Italian cuisine,Pizza,The name of the dish.,3
242,Skiing,Ski Jumping,The sport.,4
243,One person.,One skier.,The number of people.,4
244,Restroom,Bathroom,Type of room.,4
245,Not clean.,Black,Cleanliness of toilet seat.,2
246,arranged vegetables,Variegated assortment of kitchen items.,The actions are equal.,4
247,Varying vegetable dishes.,Varied vegetable dishes,The vegatable dishes are different.,3
248,Living Room,Living Room,The name of the room.,4
249,Room disorder,Furniture.,The name of the product.,2
250,Hot dog,Not specified,The dog sitting.,4
251,Fast food trio.,Bratwurst sandwiches and french fries,The food items to eat.,2
252,Transportation,Watching,The activity of people.,4
253,Two people,Several.,The number of people.,1
254,Neglected restroom.,Abandoned/Destroyed,The activity of the area.,5
255,Bathroom in disrepair.,Burned-out building,The name of the area.,4
256,Tennis,Tennis,The sport.,4
257,One,Audience,The number of people.,4
258,Dog.,Dog,The name of the animal.,5
259,Two pets,One,The number of animal.,3
260,Snowboarding,Snowboarding.,The person's hobby.,5
261,Male.,Female,The person's gender.,1
262,Antique Bedroom,Cluttered bedroom,The bed room with objects.,5
263,Antique bedroom,Cluttered bedroom,The living bed room.,3
264,Mixed Grill,Mixed dish,Type of dish.,3
265,Meat,Plant-based,Type of protein source.,1
266,One person,One.,The number of people.,5
267,Beside.,On board.,The position of the person relative to the boat.,2
268,Raised onboard,On the desk.,The keyboards.,5
269,two,One.,The number of keyboards.,4
270,Mixed meats.,Fruits and vegetables,The kind of foods.,3
271,Grill.,Food ingredients,The type of cooking item.,1
272,Two animals.,One,The number of animal.,1
273,Dog and cat,Dog,The animal.,1
274,Rearview.,Dog in rear view mirror.,The type of view.,4
275,Two semi-trucks,Dog,The number of show.,3
276,Zebra,Zebra,The name of the animal.,5
277,Standing,Grazing,The name of the action.,1
278,Pre-packed lunch,Containers,Type of packing.,4
279,Assorted Wraps and Fruits,Veggie-rice meal.,The type of food.,3
280,Donuts and drink.,Donut and Coffee,The food items.,3
281,Three,One plate.,The number of plates.,2
282,Computer,Computer,The type of electronic device.,3
283,Sitting with feet up,"Relaxed position.
",The position of the person.,2
284,Unconventional floral decor,Bathroom Scene,The type of view.,4
285,Toilet Rose,Toilet Paper,The name of the product.,3
286,First baseman,Spectator,The position played by the person.,5
287,Baseball Timeline,Swing bat.,The next thing the person will do.,4
288,Beach activities,Watching waves,The action of the people.,5
289,Three people,Three,The number of people.,4
290,Two vehicles,One vehicle.,The number of vehicles.,3
291,Unsafe,Stationary,The speed of the bus.,1
292,City center,Urban intersection,The place.,4
293,Cat,Urban Environment.,The animal.,2
294,Brick Red,Red,The color of object.,3
295,Neutral,Fun and artistic,The sentiment of people.,3
296,Zebras,Zebras,The type of animals.,3
297,Conflict,Neutral.,The animal's sentiment.,1
298,Two,Three,The number of animals.,4
299,Bed,white bed,The object laid on.,3
300,Motorcycle.,Motorcycle and van.,Type of vehicle.,5
301,One vehicle,Two vehicles,Number of vehicles.,5
302,Kite flying.,Watching kite,The activity of the child.,3
303,Unknown,Child's name not provided.,The name of the child.,2
304,Plate,Plates,Object holding food.,4
305,Sandwich with sauce,Brunch,The meal category.,4
306,Road sign,Traffic symbol,The type of object.,5
307,Unknown,One vehicle,The number of vehicles.,3
308,Street scene,Street furniture,The type of objects.,5
309,Urban intersection,Intersection.,The type of location.,2
310,Living Room,Living Room,The type of room.,3
311,Two people,One person.,The number of people.,2
312,Horse,Horse,The animal being ridden.,3
313,Equestrian demonstration.,Rodeo.,The type of demonstration.,2
314,Laptop,Laptops,The computer type.,5
315,One.,Three,The number of computers.,4
316,Welcoming,Well-maintained,The qualify of the room.,4
317,Family-style atmosphere,Hotel room,The environment.,2
318,Tennis,Tennis,The sport.,5
319,Sitting,Leaning Position,The body position.,4
320,"Pasta, cheese, bread","Sausage, noodles, vegetables",Types of dishes.,4
321,Carb overload.,Meal on table,The food for eat.,2
322,Living Room,Hotel Room,Type of room.,3
323,Mixed seating.,No seating.,Type of seating.,1
324,Grassy field,Field,The surface stood upon.,5
325,Cows in grass by water.,Farm animals,The objects nearby.,4
326,Blue,White,The color of the capped wave.,5
327,Surfing,Surfboarding,The name of the game.,2
328,Two items,Three objects.,The number of objects.,4
329,Purple bedroom,Living room,The type of room.,2
330,One.,Three unique items,The amount of different foods.,5
331,Baseball game,American Fast Food,The origin of the food.,1
332,Gray,Blue.,The color of the blanketed sky.,5
333,Surfing,Kite Flying,The name of the game.,2
334,Three elephants,Multiple,The number of animale.,3
335,Elephants,Zebras and deer,The animale.,1
336,Electronics,Workstation Setup,The name of objects.,3
337,Office,Office,The name of the place.,2
338,Laptop workstation.,Office desk,The furniture.,4
339,Desktop setup,Computers and peripherals,The electronic type.,4
340,Carnivorous,Black bear.,The type of animal.,5
341,Rural countryside.,Forest floor,The environment of the animal.,2
342,One person.,Several women,The number of people.,4
343,Kitchen counter,Kitchen,The location.,4
344,Skateboarder,Skateboarder,The type of person.,4
345,Skateboarding,Skateboarding.,The name of the game.,3
346,Two,One,The number of surfboards.,5
347,Oceanfront,Beach,The location.,4
348,Bathroom,Bathroom,The place.,5
349,Four items,Three objects,The number of objects.,2
350,Laptop desk,Furniture,The desk.,4
351,Fruit.,Coffee,The food.,4
352,Scissors,Scissors,The cutting objects.,5
353,Cutting,Cutting,The action of cutting.,4
354,Desert parking lot.,Open field,The name of the place.,3
355,Kite Car Rally,Kite Flying,The name of the game.,3
356,Long.,Snowboard.,The length of the footgear.,2
357,Skis,Walking,The mode of transportation.,1
358,One,One,The number of person.,4
359,Roping a cow.,Herding livestock,The activity of the person.,3
360,City Street,Street,Location.,4
361,Movie Poster,No parking,Contents of the sign.,3
362,Workspace.,Computing Setup,The device's use.,4
363,1,One,The number of chairs.,1
364,Hot dog platter,"Hotdog with relish and onions + Bean-covered fritos = ""Loaded"" Hotdog.",The name of the dish.,5
365,Black,Not specified,The color of the plate.,4
366,Clock Tower.,Clock tower,The name of the object.,5
367,Courtyard,Church,The place of the object.,4
368,Raw vegetables,Vegan,The type of food.,4
369,Appetizer,Next meal,The type of meal.,1
370,One dish.,Multiple,The number of dish.,4
371,Prepared meal,Various dishes.,The dish.,4
372,Unknown,Boy,Age of person.,5
373,Three.,One person.,Number of people.,1
374,Dog,Dogs,The name of animal.,4
375,Observing,Mimicking Human Behavior,The action of dog.,2
376,Calico,Gray and white.,The color of the cat.,3
377,Calico cat,Cat.,The name of the animal.,3
378,Study Room,Living room,Type of room.,4
379,Yes,Entertainment setup,If electronics are present.,3
380,Three vehicles,Transportation,The number of vehicle.,4
381,Various,Bus,The type of vehicle.,3
382,Giraffe,Giraffes,The anima.,5
383,One,Three,The number of animals.,3
384,Snowboard trick.,Jumping,The posture of the person.,3
385,Snowy,Snowy,The weather of the area.,3
386,Motorcycle,Motorcycles,The type of vehicle.,5
387,One vehicle,Two motorcycles,The number of vehicles.,2
388,Giraffe,Giraffe,The type of animal.,5
389,Two giraffes.,Two,The number of animals.,5
390,Female,Female,The gender of the person.,5
391,Pizza with lettuce,Photogenic.,The type of food.,4
392,Baseball,Baseball,The activity of people.,4
393,Baseball,Baseball,The sport.,3
394,Motorcycle,motorcycle,Type of vehicle.,5
395,Small,Dirt,Type of road.,2
396,Two women.,One,The number of women sitting.,4
397,Scooter,Motorcycle,The name of the vehicle.,2
398,Dining setup,Parlor aesthetic,The object.,5
399,Museum exhibit,Vintage parlor,The place.,4
400,Cat,Cat,The animal.,4
401,Close,On.,The proximity of the items to the cat.,2
402,Double,One,The number of sinks.,5
403,Bathroom.,Bathroom,The room's function.,3
404,Grazing,Grazing,The speed of the sheep.,4
405,Several,Hundreds,The number of sheep.,1
406,1,Two bowls,The number of bowl.,4
407,Glass,Plastic,The material of the drink container.,1
408,Sheep and dogs.,Sheep being judged.,The animals gathered.,5
409,Two,Multiple ages<option>Delete this</option>,The number of people.,1
410,scooter,Scooters.,The name of the vehicle.,3
411,Orange and white.,Summary: Undefined.,The color of the scooter.,2
412,Baseball,Baseball,Type of sport.,2
413,Officiation,Umpire.,Presence of an umpire.,1
414,Appliance.,White narrow,The refrigerator.,4
415,Purposeful display,White Narrow Kitchen,The kitchen.,2
416,"Campsite with man, barbecue grill, motorcycles.",Forest campsite,The setting.,5
417,Two motorcycles,No vehicles.,The number of vehicles.,1
418,Computer setup,Office materials,The name of the things.,4
419,Laptop,Desk Setup,The name of the object.,2
420,Giraffes and horned animals,Giraffes,The species of animals.,3
421,2,Two,The number of giraffes.,2
422,Winter sports,Winter sports,The amount of sports.,5
423,Winter sports.,Mountain thrill,The intensity of action.,4
424,Two sinks,One sink,Number of sinks.,4
425,Standard Room,Bathroom,Type of room.,3
426,Living Room,Room,The name of the place.,4
427,Television,Furniture,The name of the object.,4
428,Two.,One,The number of men.,2
429,Surfers standing,Beach stroll.,The speed of the surfers.,1
430,Chili and pizza,Pizza,The type of food.,3
431,1 slice.,Unequal slices,The number of slices.,3
432,"Pasta, vegetables, and cheese in a small green box.",Food Display,The use of the edible products.,4
433,Mixed ingredients,Assortment of dishes,The amount of food.,3
434,Multiple food items,Refrigerator items,The objects in the fridge.,5
435,Refrigerator,Refrigerator,The appliance.,3
436,Bathroom,Elegant hotel bath,The name of the place.,3
437,Bathroom,Marble bath,The name of the object.,2
438,Train,Train,The name of the vehicle.,5
439,Train departing,Trains passing under an overpass.,The action of the vehicle.,1
440,Lamp,Blender,The items next to the large kitchen appliance.,4
441,Mini fridge,Refrigerator,The type of large kitchen appliance.,3
442,Sunlight,Natural Light.,The lighting.,3
443,Bedroom,Bedroom,The room type.,3
444,Passenger seat,In lap.,The relative location of the animal.,5
445,Dog,Dog,The type of animal.,3
446,Happiness.,Outdoor dining,The sentiment of people.,5
447,unknown,Blue,The color of object.,3
448,Dog,Dog,The type of animal.,3
449,Four people,Two individuals,The number of people.,2
450,Male,Male,The gender.,4
451,Man using cell phone,Sitting.,The activity of the people.,1
452,1,One,The number of room.,4
453,Lavish wooden bed,Canopy Bed,The bed.,4
454,Desk setup,Room,The wall's enclosure.,3
455,Productivity setup,Connection,The display's function.,2
456,Parking lots full,Parking,The activity of the object.,5
457,Parking lots,Road,The name of the object.,4
458,Airplane,Airplane,The type of transport.,5
459,One plane.,few,The number of planes.,1
460,Drinking,Stretching,The motion of the animal.,4
461,Giraffe,Giraffe,The type of animal.,3
462,Cat,Cat,The name of the animal.,4
463,Black,Orange,The color of the animal.,3
464,Bathroom,Bathroom,The name of the place.,4
465,Bathroom.,Bathroom fixtures,The action of the place.,4
466,Decorative items,Vases,The type of object.,4
467,1,Five flowers,The number of flower.,3
468,Elephant,Elephants,The type of the animal.,5
469,Slow,Trampling,The speed of the animals.,2
470,Messy.,Bedroom,The room.,4
471,Clutter,Two mattresses,The number of object.,4
472,Hungry man.,Eating hot dogs.,The man with food.,4
473,Sandwich and fries,Hot dogs,The type of food.,2
474,Ingredients,Five fruits,The number of food.,3
475,Dessert,Fruit display,The food.,2
476,Tennis,Tennis,The name of the sport.,5
477,Tennis practice,Return volley,The action of man.,3
478,Grilled sandwich,Sandwich with salad.,The name of the dish.,4
479,Unnamed,No specific name provided.,The name of the place.,4
480,Mixed Mediterranean Plate,Not provided in the sentence.,The food.,5
481,"Red, green.",White and blue,The color of object.,2
482,Baseball,Baseball,The name of the game.,5
483,Baseball Game,Baseball,The activity of the player.,4
484,White bed.,Corner.,The bed.,5
485,Bedroom with clouds.,Bedroom,The different place.,2
486,Egg,Egg,The presence of egg.,5
487,Three,No tomatoes.,The absence of tomatoes.,1
488,Five people.,One,The number of people.,3
489,Laptop,Computer,The man's attention.,3
490,Table,Table,The furniture the food is on.,5
491,Two,1 cup,The amount of cups.,5
492,Food,Hot dog,The name of the animal.,3
493,French fries,Closeup,The type of the side.,1
494,Five people,Five,The number of people.,3
495,Old,Propeller Aircraft,The airplane.,3
496,Skateboarders' speed.,Riding at a moderate speed.,The speed of the skateboarders.,3
497,Skateboarding,Skateboarding,The sport being played.,2
498,Snowboarding,Snowboarding,The name of the game.,5
499,Red,Blue.,The color of the jacket.,4
500,Large,Average-sized,The size of the room.,5
501,Kitchen,Kitchen,The type of room.,5
502,Elephants,Elephants,The type of animal.,5
503,Elephants,Two elephants.,The number of animals.,1
504,Public place,Urban,The type of location.,5
505,Unclear,Two people,The number of people.,1
506,Repair Shoulder Bag,Clutter,The object is bag.,3
507,Preparing a repair shoulder bag.,Exploring contents.,The activity of people.,2
508,Tennis,Tennis,The game played.,3
509,Two ladies,One player,The number of players.,1
510,Small,Medium-sized,The size of object.,2
511,Two computers,Six objects,The number of object.,1
512,Airplanes,Airplane,The type of the vehicle.,4
513,White,Red,The color of the vehicle.,2
514,Circular,Spear,The shape of the pickles.,5
515,Pickle,Pickles,The type of vegetable.,1
516,Meal,Vegetable sandwiches.,The name of food.,5
517,One sandwich.,Two,The number of sandwiches.,1
518,One person,One,The number of person.,5
519,Hiking,Skiing,The activity of the person.,1
520,Bowls,Bowl and pan,The object the food is in.,5
521,Fruits,Pan with asparagus,The object next to the bowl.,1
522,Kitchen,Kitchen.,The room type.,3
523,Moderate,Cluttered counter,The amount of clutter.,2
524,Bathroom,Bathroom,The room type.,4
525,One person,One,The number of people.,2
526,Vegetables.,Chopped vegetables,The name of the object.,5
527,Vegetables and fruits.,Chopped vegetables and knife.,The name of the things.,4
528,Dog,Cat,The name of animal.,4
529,Dog,Cat on toilet.,The animal in the bathroom.,4
530,Coffee,Coffee,The type of beverage.,5
531,Not specified.,Not determined,The amount of sugar in the food.,2
532,Surfing.,Surfing,The type of the hobby.,5
533,Multiple,One,The number of people.,4
534,One piece,Three tech items,The amount of pieces of technology.,4
535,Writing Table,End Tables,The type of table.,3
536,Vehicle interior,Front seat,The animal's location.,4
537,Cow,Dog,The type of animal.,1
538,Red,Green,The traffic signal light.,4
539,Red light signal.,Bus,The name of vehicle.,3
540,Food stand,Unspecified,The name of the place.,5
541,Hot Dog and Soup,Sandwich plate,The name of the dish.,2
542,Pet,Turkish Angora,The cat.,5
543,Resting,Inappropriate behavior.,The activity.,3
544,Road Sign,Traffic signs,The type of signal.,3
545,Low;height,Road signage,The type of position.,2
546,Female,Man,The sex of the person.,4
547,Bananas,Bananas,The type of fruit.,4
548,Hot dog,Steak salad,The name of the object.,5
549,Presentation,Meal Selection,The name of the action.,4
550,Dog,Dog.,The animal.,2
551,Brown,Black and white,The color of animal.,1
552,Pastoral scene,Grassy field,The setting.,4
553,Cows.,Horses,The type of animals.,1
554,Fluffy pet,Golden,The dog.,3
555,Pet ownership,Grooming.,The activity.,2
556,Standing,Grazing,The activity of the animal.,5
557,Cows,Cattle,The name of the animal.,2
558,Split in half,Layered Chocolate Cake,The cake with icing.,2
559,Three,One cake,The number of cakes.,1
560,Fire engine,Fire hydrant,The name of the object.,2
561,In front of,Street corner.,The place of the object.,1
562,Pizza plate,Broccoli Pizza.,The dish.,5
563,Red,Green,The color of object.,4
564,Skateboarding,Skateboarding,The sport.,5
565,Green,Safety gear.,The color of object.,4
566,Balancing dog,Cat eating,The name of the activity.,4
567,Dog,Black cat,The name of the animal.,2
568,Sheep,Sheep,The type of animal.,5
569,Walking,Stationary.,The speed of the animals.,3
570,Sandwich ingredients.,One,The number of food.,3
571,Sandwich,Sandwich,The food.,2
572,Fallen,Standing on skis.,The body position.,4
573,Skiing,Skiing,The sport.,2
574,Bathroom,Kitchen,The room type.,2
575,Under renovation,Under renovation,The room state.,2
576,One person,One person,The number of people.,2
577,Not specified.,Pizza,The food.,1
578,Skateboarding,Airborne trick,What trick is being done.,5
579,Skateboard,Skateboard,What kind of toy.,3
580,Kitchen,Kitchen,The room type.,5
581,Kitchen with open cabinets,Kitchen with amenities,The state of the room.,4
582,One person.,One,The number of people.,4
583,Skateboarding,Skateboarding,The sport.,3
584,Pizza,Pizza,The food type.,5
585,Assembly,Preparation.,The preparation stage.,4
586,Multi-colored,Brown,The color of bears.,3
587,Hanging from a rope.,Assorted teddy bears,The teddy bears in the place.,2
588,Green,Street Light,The brightness.,4
589,Green Light,Street Light,The type of illumination.,1
590,Bus,Bicycle,The name of the vehicle.,5
591,Intersection,City street,The name of the place.,3
592,Footwear,No shoes.,The shoes on ground.,5
593,Bathroom,Public restroom,The place bathroom.,3
594,Next to fork,Plate,The place of the food.,4
595,Cake and coffee,Dessert,The food.,1
596,"Players, baseball",Red,The color of object.,4
597,Baseball,Baseball,The sport.,2
598,Baseball,Baseball,The name of the product.,4
599,Baseball,Baseball,The name of the game.,3
600,Several,One person.,The number of people.,5
601,Outdoors,Field,The place of garden.,3
602,"Cheese sandwich, chips, and soda.",Meal option,The plate with food.,3
603,"Sandwich, cheese, chips, soda",Sandwich and french fries,The type of food.,3
604,Carrots and other assorted vegetables,Mixed vegetables.,The vegetables.,4
605,Orange.,Green.,The color of vegetable.,3
606,Laptop,laptop,The type of computer.,5
607,One,1,The number of people.,2
