text,condition,label,score
"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.",menu,Positive,2
"The service was impeccible, the menu traditional but inventive and presentation for the mostpart excellent but the food itself came up short.",food,Negative,0
"When our entrees came, at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit.",entrees,Neutral,1
"When our entrees came, at least 3 or 4 waiters / waitresses came by at different times to wish us bon apetit.",waitresses,Negative,0
"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.",table,Neutral,1
"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.",reservations,Neutral,1
"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.",owners,Negative,0
"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",menu,Neutral,1
"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",French bistro fare,Positive,2
"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",steamed mussels with French fries,Neutral,1
"The menu features classic French bistro fare, like steamed mussels with French fries and hangar steak with a green peppercorn sauce.",green peppercorn sauce,Neutral,1
The Scene A stone-faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood's rapid transformation into a nighttime hot spot.,Scene,Neutral,1
The Scene A stone-faced facade welcomes diners to a restaurant that feels barely touched by the neighborhood's rapid transformation into a nighttime hot spot.,spot,Positive,2
Get in before peak dinner time (7-8 PM) to avoid harried service.,dinner,Neutral,1
Get in before peak dinner time (7-8 PM) to avoid harried service.,service,Negative,0
"My family and I enjoy spicy food so towards the end of the meal, we were tearing and had runny noses.",food,Positive,2
"My family and I enjoy spicy food so towards the end of the meal, we were tearing and had runny noses.",meal,Neutral,1
"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.",Dinner,Neutral,1
"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.",succulent salmon fillet,Positive,2
"Dinner highlights include succulent salmon fillet, drenched in roasted tomato shallot sauce and grilled hangar steak with light fries and caramelized onions.",caramelized onions,Positive,2
"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",drinks,Neutral,1
"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",menu,Neutral,1
"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",foods,Positive,2
"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",veggies,Neutral,1
"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",sprouts,Positive,2
"The drinks, served with a little extra in the shaker, anticipate the aptly executed menu, which emphasizes comfort foods of a bygone era--veggies, for example, include crisp Brussels sprouts, shredded beets and bubbling-hot scalloped potatoes.",beets,Positive,2
"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.",table,Neutral,1
"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.",drinks,Neutral,1
"After sitting at the table with empty glasses for a 1/2 hour, we had to ask the busboys to get us drinks as our waiter was nowhere to be found.",waiter,Negative,0
Food is pretty good but the service is horrific.,Food,Positive,2
Food is pretty good but the service is horrific.,service,Negative,0
The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,hostess,Negative,0
The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,lounge,Neutral,1
The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,seats,Neutral,1
The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,bar,Neutral,1
The hostess made sure we knew where the lounge was since all the seats at the bar were full and had the waiter come over to take our drink order.,order,Neutral,1
"last time, the waiter told my roommate he'd have to charge her $5 for mushrooms as one of her omelette choices (never heard that at my other favorite brunch places.",waiter,Negative,0
"last time, the waiter told my roommate he'd have to charge her $5 for mushrooms as one of her omelette choices (never heard that at my other favorite brunch places.",places,Positive,2
Summary - good food which they rush you through and do everything to up your bill.,food,Positive,2
Summary - good food which they rush you through and do everything to up your bill.,bill,Neutral,1
"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",bar,Neutral,1
"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",waiters,Positive,2
"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",plates,Neutral,1
"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",dining room,Neutral,1
"A huge Coca-Cola sign dominates the bar, and cute waiters whisk plates of 'cue across the dining room and to the sidewalk patio.",patio,Neutral,1
"warm orangey glow, nice old mexican prints, wee bar that my bf and i vowed to go back and linger at.",mexican,Positive,2
"warm orangey glow, nice old mexican prints, wee bar that my bf and i vowed to go back and linger at.",bar,Neutral,1
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",server,Negative,0
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",food,Neutral,1
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",table,Neutral,1
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",water,Neutral,1
"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",drinks,Neutral,1
sushi a big hamburger and good coctails.,sushi,Neutral,1
sushi a big hamburger and good coctails.,hamburger,Positive,2
"Go for drinks, but not food it will leave you asking, where's the beef?",drinks,Positive,2
"Go for drinks, but not food it will leave you asking, where's the beef?",beef,Neutral,1
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,reservations,Neutral,1
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,host,Positive,2
Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,waiter,Positive,2
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",waitstaff,Negative,0
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",food,Neutral,1
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",served,Neutral,1
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",dish,Negative,0
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",pork chop,Negative,0
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",lamb,Negative,0
"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",price,Neutral,1
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).",waiters,Negative,0
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).",drinks,Neutral,1
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).",lunch,Neutral,1
"-4 waiters bustling around though no table was actually being helped -25 minutes to take our order -15 minutes to get the drinks we order -another 20 minutes to get our food -NO apology from the waiter In between our lunch, a man burst out shouting in anger at the lousy service (he asked for ketchup 20 minutes ago and never got it).",service,Negative,0
"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",waiter,Negative,0
"When we asked if the waiter could put the lights back on, he said:we have this complaint every night but the owner thinks it's more 'Parisian'!",lights,Neutral,1
"The portions are not HUGE, but you are very full by the end of your meal.",portions,Negative,0
"The portions are not HUGE, but you are very full by the end of your meal.",meal,Neutral,1
"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",coffee,Neutral,1
"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",tea,Neutral,1
"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",cream,Neutral,1
"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",dessert,Neutral,1
"we were full and ordered just coffee and tea, but the chef sent us some of his home made ice cream, saying he couldnt send us home without trying any of his dessert so that was the most unexpected part: lemongrass vanilla, five spices chinese chocolat (unbelivable)and coconut with citrus zests.",chinese chocolat,Positive,2
"I'm not sure how he's managed to stay in the restaurant business for 40 years with his attitude (and the food's not good enough to rate the Seinfeld treatment), but he's definitely lost one customer for good!",food,Negative,0
"I'm not sure how he's managed to stay in the restaurant business for 40 years with his attitude (and the food's not good enough to rate the Seinfeld treatment), but he's definitely lost one customer for good!",Seinfeld,Neutral,1
"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.",prime dinner,Neutral,1
"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.",crowds,Neutral,1
"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.",waiting,Neutral,1
"I don't usually go there over the weekends or during prime dinner hours--but for a weekday dinner it's great, and I've never had any problems with crowds, waiting, or bad service.",service,Negative,0
"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.",drinks,Neutral,1
"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.",desserts,Neutral,1
"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.",chocolate cake,Positive,2
"All of the drinks that we tried were As for desserts, my favorite is the chocolate cake and my boyfriend really liked their pumpkin cheesecake.",cheesecake,Positive,2
"The food is also good although there are a few kinks to work out - the soft shell crab appetizer wasn't quite as 'soft' as it should be and the halibut was a little too peppery, but my friend loved his cod and said it was perfect.",food,Positive,2
"The food is also good although there are a few kinks to work out - the soft shell crab appetizer wasn't quite as 'soft' as it should be and the halibut was a little too peppery, but my friend loved his cod and said it was perfect.",soft shell crab appetizer,Negative,0
"The food is also good although there are a few kinks to work out - the soft shell crab appetizer wasn't quite as 'soft' as it should be and the halibut was a little too peppery, but my friend loved his cod and said it was perfect.",cod,Positive,2
I can't even remember if they serve anything else -- a busy hole in the wall sized place and atmosphere.,place,Negative,0
I can't even remember if they serve anything else -- a busy hole in the wall sized place and atmosphere.,atmosphere,Neutral,1
"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.",hostess,Positive,2
"The beginning of the meal wasnt bad, the hostess was very nice, we got our drinks about every 10 minutes and the appetizers we good.",drinks,Neutral,1
"The waiter was nice once he got to us, it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow.",waiter,Positive,2
"The waiter was nice once he got to us, it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow.",glass of water,Neutral,1
The whole table must participate and you have to be willing to let the chef cook for you with no menu.,whole table,Positive,2
The whole table must participate and you have to be willing to let the chef cook for you with no menu.,chef,Positive,2
The whole table must participate and you have to be willing to let the chef cook for you with no menu.,menu,Neutral,1
"Great food, but tiny portions and inexcusable service - disorganized, amateurish and definitely overpriced by a long shot.",food,Positive,2
"Great food, but tiny portions and inexcusable service - disorganized, amateurish and definitely overpriced by a long shot.",portions,Negative,0
"Great food, but tiny portions and inexcusable service - disorganized, amateurish and definitely overpriced by a long shot.",service,Negative,0
The signature of the Indian Tandoor-Oven chet seems to be the total absence of spices   The pakoras were somewhere between red and purple in color and dripping with oil.,spices,Negative,0
The signature of the Indian Tandoor-Oven chet seems to be the total absence of spices   The pakoras were somewhere between red and purple in color and dripping with oil.,oil,Neutral,1
"The decor in the dinin room is a bit bland, but the service is always friendly.",decor,Negative,0
"The decor in the dinin room is a bit bland, but the service is always friendly.",dinin room,Neutral,1
"The decor in the dinin room is a bit bland, but the service is always friendly.",service,Positive,2
"Don't go for the decor or the location, go for the food!",decor,Negative,0
"Don't go for the decor or the location, go for the food!",location,Negative,0
"Don't go for the decor or the location, go for the food!",food,Positive,2
Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,sides,Positive,2
Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,Lugers,Neutral,1
Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,bacon,Positive,2
Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,steak,Negative,0
Although the sides at Lugers are delicious (the bacon is out of this world) the steak is entirely priced way too high.,priced,Negative,0
"Our dinner special included dessert, but our slow and unhelpful waitress didn't bother asking if we wanted any.",dessert,Neutral,1
"Our dinner special included dessert, but our slow and unhelpful waitress didn't bother asking if we wanted any.",waitress,Negative,0
The waitress came to our table and told us about their tempting specials.,waitress,Positive,2
The waitress came to our table and told us about their tempting specials.,table,Neutral,1
The waitress came to our table and told us about their tempting specials.,specials,Positive,2
"I ordered chicken vindaloo, the delivery took about an hour, and it cost me $13 with tip.",chicken vindaloo,Neutral,1
"I ordered chicken vindaloo, the delivery took about an hour, and it cost me $13 with tip.",cost,Negative,0
"The best part of our dining experience was, when our burgers were ordered with NOTHING on them, and they came with some mysterious Houston's secret hickory sauce!",burgers,Negative,0
"The best part of our dining experience was, when our burgers were ordered with NOTHING on them, and they came with some mysterious Houston's secret hickory sauce!",secret hickory sauce,Neutral,1
"i think the $5 dollar breakfast is great hangover food, but then again, it's hard to mess up eggs, right?",breakfast,Positive,2
"i think the $5 dollar breakfast is great hangover food, but then again, it's hard to mess up eggs, right?",eggs,Neutral,1
"With 5 items on the menu and prices this low, you'd think turnover would be a priority -- think again!!!",menu,Neutral,1
"With 5 items on the menu and prices this low, you'd think turnover would be a priority -- think again!!!",prices,Positive,2
The waiter set down my companion's meal and didn't return with my dish for some time.,waiter,Negative,0
The waiter set down my companion's meal and didn't return with my dish for some time.,meal,Neutral,1
The waiter set down my companion's meal and didn't return with my dish for some time.,dish,Neutral,1
"There are decent selections if you are a seafood person, but not a lot if you aren't!",selections,Negative,0
"There are decent selections if you are a seafood person, but not a lot if you aren't!",seafood,Neutral,1
"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.",appetizers,Neutral,1
"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.",wine list,Positive,2
"From the appetizers to the spectacular and always improving wine list, to the delicious entrees.",entrees,Positive,2
"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.",food,Positive,2
"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.",priced,Positive,2
"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.",wait staff,Positive,2
"The food is wonderful and reasonably priced, (so hard to find in NY) and the wait staff is very attentive and helpful when choosing an entree.",entree,Neutral,1
"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.",menu,Neutral,1
"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.",baby back ribs,Positive,2
"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.",red-beef chili,Positive,2
"The menu features mild versions of Lone Star state favorites, from double-basted baby back ribs and steak fajitas to red-beef chili and deep-fried onions.",deep-fried onions,Positive,2
"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.",Melissa,Positive,2
"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.",food,Positive,2
"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.",pastries,Positive,2
"Although Sweet Melissa's food and pastries are very tasty, the unfriendly folks who work there sour the experience.",experience,Negative,0
The bean burritos and the cheese enchiladas are to die for and don't get me started on their refried beans.,bean burritos,Positive,2
The bean burritos and the cheese enchiladas are to die for and don't get me started on their refried beans.,beans,Neutral,1
"The drinks are quite strong, so I recommend having one of their wines by the glass to accompany dinner instead of a cocktail.",drinks,Positive,2
"The drinks are quite strong, so I recommend having one of their wines by the glass to accompany dinner instead of a cocktail.",wines by the glass to,Neutral,1
"The first time, the food was decent for lunch, but remember mediocre service.",lunch,Neutral,1
"The first time, the food was decent for lunch, but remember mediocre service.",service,Negative,0
Our waitress hardly spoken English - and not because she spoke French - and she spilled wine all over me and didn't try to make any amends.,waitress,Negative,0
Our waitress hardly spoken English - and not because she spoke French - and she spilled wine all over me and didn't try to make any amends.,wine,Neutral,1
"Just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good, but not great food.",jerked chicken dinner,Positive,2
"Just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good, but not great food.",service,Negative,0
"Just finished a tasty jerked chicken dinner that was too pricey for the subpar service and good, but not great food.",food,Neutral,1
I often go to ISE for lunch and I am always very happy with the food.,lunch,Neutral,1
I often go to ISE for lunch and I am always very happy with the food.,food,Positive,2
"My husband and I ate dinner there last weekend and the food was very good, and very reasonably priced, we thought.",dinner,Neutral,1
"My husband and I ate dinner there last weekend and the food was very good, and very reasonably priced, we thought.",food,Positive,2
"My husband and I ate dinner there last weekend and the food was very good, and very reasonably priced, we thought.",priced,Positive,2
Our food was delivered in a timely fashion but if you wanted another drink or your check you had to hunt down your server.,food,Positive,2
Our food was delivered in a timely fashion but if you wanted another drink or your check you had to hunt down your server.,check,Neutral,1
"Teenie weenie overpriced appetizers were served at an agonizingly slow pace, one at a time 30 minutes between each.",appetizers,Negative,0
"Teenie weenie overpriced appetizers were served at an agonizingly slow pace, one at a time 30 minutes between each.",served,Neutral,1
"We both got soup, and appetizer, and a main course (fabulous duck), so we didnt have space for dessert.",appetizer,Neutral,1
"We both got soup, and appetizer, and a main course (fabulous duck), so we didnt have space for dessert.",duck,Positive,2
"We both got soup, and appetizer, and a main course (fabulous duck), so we didnt have space for dessert.",dessert,Neutral,1
Food other than sushi is also very nice.,Food,Positive,2
Food other than sushi is also very nice.,sushi,Negative,0
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",portions,Negative,0
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,Positive,2
Our waiter was a real pro; knew a lot about ingredients and allowed us to take our time.,waiter,Positive,2
Our waiter was a real pro; knew a lot about ingredients and allowed us to take our time.,ingredients,Neutral,1
"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.",place,Negative,0
"The place wasn't at all busy, and we were shown a table in the back, given our menus, and promptly forgotten about.",menus,Neutral,1
"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.",dessert,Neutral,1
"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.",baklava,Positive,2
"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.",chocolate mousse cake,Positive,2
"For dessert you must try the baklava, chocolate mousse cake, strawberry shortcake.",strawberry shortcake,Positive,2
"I have been to Blue Ribbon Sushi at least 75 times and have never ordered the same dish twice, that's how awesome the menu is.",Sushi,Neutral,1
"I have been to Blue Ribbon Sushi at least 75 times and have never ordered the same dish twice, that's how awesome the menu is.",dish,Neutral,1
"I have been to Blue Ribbon Sushi at least 75 times and have never ordered the same dish twice, that's how awesome the menu is.",menu,Positive,2
"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.",Italian food,Positive,2
"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.",pasta dishes,Negative,0
"I got there with my husband aspecting nothing but delicious landmark Italian food,instead, we got tasteless pizza, salty pasta dishes and over cooked Expensive prices, not compatible with the service they offer.",service,Positive,2
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,shows,Positive,2
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,characters,Neutral,1
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,food,Positive,2
"This was followed by various wacky hijinks: overly sweet foie de gras, lack of extra ginger/soy sauce, minute portions even for sushi, appetizers arriving at different times.",portions,Negative,0
"This was followed by various wacky hijinks: overly sweet foie de gras, lack of extra ginger/soy sauce, minute portions even for sushi, appetizers arriving at different times.",appetizers,Neutral,1
"We ordered a variety of appetizers including the crabcakes, lobster rolls and poached shrimp-- one was better than the next.",appetizers,Positive,2
"We ordered a variety of appetizers including the crabcakes, lobster rolls and poached shrimp-- one was better than the next.",lobster rolls and poached shrimp,Neutral,1
"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.",waitstaff,Negative,0
"I expected professionals, but was instead met with an amateur waitstaff that made several ominous errors during the course of the meal.",meal,Neutral,1
"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.",crab and roasted red pepper dip,Neutral,1
"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.",beef,Neutral,1
"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.",appetizers,Neutral,1
"We had a crab and roasted red pepper dip along with a beef empinada for our appetizers, which set the tone of delicious worldly cuisine that we were about to experience.",worldly cuisine,Positive,2
Service is one thing but a restaurant like Craft needs to have much better quality food for the price they charge.,Service,Neutral,1
Service is one thing but a restaurant like Craft needs to have much better quality food for the price they charge.,food,Positive,2
I went there for lunch with co-workers and found the service to be prompt and very friendly.,lunch,Neutral,1
I went there for lunch with co-workers and found the service to be prompt and very friendly.,service,Positive,2
I went for lunch and the staff does not welcome you upon entering.,lunch,Neutral,1
I went for lunch and the staff does not welcome you upon entering.,staff,Negative,0
"There are specials and it's the kind of place sure to please, whether you're seated at the window near the bar or in the outdoor (covered heated when needed) garden in the rear.",place,Positive,2
"There are specials and it's the kind of place sure to please, whether you're seated at the window near the bar or in the outdoor (covered heated when needed) garden in the rear.",bar,Neutral,1
"The Food A good way to judge a Thai spot is by its green curry: The all-Thai staff here fashions it spicy and smooth, filled to bursting with meat and thin-sliced bamboo shoots.",Food,Neutral,1
