text,condition,label,score
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I did n't like the trackpad .,trackpad,Negative,0
"Yeah , of course smarty pants `` fix it now '' -RRB- Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple -LRB- which I promptly did -RRB- .",Software,Negative,0
It 's also very capable of doing moderate video editing -LRB- although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing -RRB- .,video editing,Positive,2
Mac also has many apps and programs that are quite cheap or free .,programs,Positive,2
"Despite the inconvenient weight , I opted for the 12 cell battery .",12 cell battery,Positive,2
"I also purchased Office Max's ""Max Assurance"" with the `` no lemon '' clause .","Office Max's ""Max Assurance""",Neutral,1
The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues .,power supply,Negative,0
"Also , HDD secures inside using rails , and there is only one set on the main hard drive .",HDD,Positive,2
"I also purchased iWork to go with it which has programs for word processing , spreadsheets , and presentations -LRB- similar to Microsoft Office -RRB- .",iWork,Neutral,1
with the switch being at the top you need to memorize the key combination rather than just flicking a switch .,switch,Negative,0
Additional caveat : the base installation comes with some Toshiba-specific software that may or may not be to a user 's liking .,base installation,Negative,0
I thought the price was great for the specs .,specs,Positive,2
"Great product , very easy to use and great graphics .",use,Positive,2
"The programs are great , like iphoto -LRB- love the editing capabilities -RRB- , imail -LRB- which can incorporate with the address book on the ipod and ipad -RRB- , imovie , etc. .",programs,Positive,2
The only thing I would change about it is the mouse keys .,mouse keys,Negative,0
"I bought it for my mom and she reports that the battery life lasts all day for her , it 's very lightweight , and the response for the computing she 's doing -LRB- Internet focused activity : mail , research , etc. -RRB- is excellent ;",Internet focused activity,Neutral,1
It is in the best condition and has a really high quality .,quality,Positive,2
"I have found it very easy to use , very imformative , wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs .",features,Positive,2
"I even got my teenage son one , because of the features that it offers , like , iChat , Photobooth , garage band and more !",garage band,Positive,2
The So called laptop Runs to Slow and I hate it !,Runs,Negative,0
"The Macbook arrived in a nice twin packing and sealed in the box , all the functions works great .",functions,Positive,2
"It was heavy , bulky , and hard to carry because of the size .",size,Negative,0
I do n't understand why only Windows 7 Starter is included .,Windows 7 Starter,Negative,0
The battery life also does n't keep up with the claim but still I think macbook is much ahead from the rest of the pack .,battery life,Negative,0
"All of the programs -LRB- Keynote , Pages , Numbers -RRB- have an option to save your documents as Microsoft compatible , which really eliminates the need for the actual .",Keynote,Neutral,1
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side .,wireless switch,Negative,0
"We love the size of the screen , although it is still lightweight and very easy to tote around .",tote,Positive,2
The resolution is even higher then any other laptop on the market .,resolution,Positive,2
"Crisp screen , great battery life , and plenty of storage .",storage,Positive,2
The brand is tarnished in my heart .,brand,Negative,0
First it burned or fused the power adapter plug .,power adapter plug,Negative,0
"Theres also iDVD , a program dedicated to putting all your favorite media together - photos , recordings , video projects into one program so that you can create the perfect memoir for your parents , family , siblings , and any other person important in your life that there may be .",program,Positive,2
"- Bluetooth -LRB- 2.1 -RRB- , Fingerprint Reader , Full 1920x1080 screen - Integrated Mic/Webcam * - Dual touchpad mode is interesting , and easy to use -5 USB ports - Runs about 38-41C on idle , Up to 65 -LRB- for me -RRB- on load - Very quiet - I could go on and on .",USB ports,Neutral,1
Clear picture on it and everything .,picture,Positive,2
Not to mention it has shit gigs .,gigs,Negative,0
"My laptop cost approximately $ 2,300 and DIED after only 2-years , 10-months and 18-days of use .",cost,Negative,0
"My friend reports the notebook is astonishing in performance , picture quality , and ease of use .",picture quality,Positive,2
"The cover for the DVD drive soon came off , too -- a mark of poor construction quality .",cover for the DVD drive,Negative,0
"So , I took it back to the apple store and they narcissist genius bar staff -RRB- fixed it by resetting the fan at boot up .",boot up,Neutral,1
"Also , the space bar makes a noisy click every time you use it .",space bar,Negative,0
"- Bluetooth -LRB- 2.1 -RRB- , Fingerprint Reader , Full 1920x1080 screen - Integrated Mic / Webcam * - Dual touchpad mode is interesting , and easy to use -5 USB ports - Runs about 38-41C on idle , Up to 65 -LRB- for me -RRB- on load - Very quiet - I could go on and on .",Mic,Positive,2
"it is of high quality , has a killer GUI , is extremely stable , is highly expandable , is bundled with lots of very good applications , is easy to use , and is absolutely gorgeous .",use,Positive,2
"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista -LRB- I should have waited the few months to get the next operating system -RRB- .",Vista,Negative,0
"The laptop is very lightweight , can easily carry around in a knapsack full of text books and it barely adds any weight .",weight,Positive,2
"The processor screams , and because of the unique way that Apple OSX 16 functions , most of the graphics are routed through the hardware rather than the software .",OSX 16,Positive,2
"And if you do a lot of writing , editing is a problem since there is no forward delete  key .",delete  key,Negative,0
"I love windows 7 but i ca n't give Toshiba any credit for that , unless y' all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time .",windows 7,Positive,2
"The battery life seems to be very good , and have had no issues with it .",battery life,Positive,2
"I love its solid build , light wt and excellent battery life -LRB- for now -RRB- .",battery life,Positive,2
Ive had to call tech support many times .,tech support,Neutral,1
The graphics are great .,graphics,Positive,2
i love the size of the computer since i play games on it .,size,Positive,2
"It has a 10 hour battery life when you 're doing web browsing and word editing , making it perfect for the classroom or office , and in terms of gaming and movie playing it 'll have a battery life of just over 5 hours .",web browsing,Neutral,1
"Screen , keyboard , and mouse : If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen , responsive island backlit keyboard , and fun multi-touch mouse is worth the extra money to me alone .",screen,Positive,2
The graphics are stunning .,graphics,Positive,2
The buttons you have to press a little harder than most .,buttons,Negative,0
What I 'd like is for the laptop to run well without having to purchase additional memory .,memory,Negative,0
"At first , the computer seemed a great deal -- seemingly high-end specs for a low , low price .",specs,Positive,2
It is speedy when connected wirelessly to any network regardless if the connection is weak or not .,connection,Neutral,1
"Great value , fast delivery - Computer works as if brand new , no problems , very pleased",value,Positive,2
"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies -LRB- 720p -RRB- on occasion and creating presentations .",uploading photos,Positive,2
"It started out by randomly ceasing to charge when it was plugged in -LRB- mousing over the battery icon would read , for example , `` 74 % , plugged in , not charging '' -RRB- , requiring me to unplug it and plug it back in several times to get it to charge .",charging,Negative,0
"For the Bluetooth to work properly , you must install the Launch Manager on the Drivers/Applications DVD , or it will not show after the reload .",Launch Manager,Neutral,1
We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed .,memory,Neutral,1
"cosmetically , the only thing they changed was 2 of the Function keys at the top .",Function keys,Neutral,1
1 . You can not change your desktop background -LRB- window's 7 starter does NOT support that function -RRB- .,window's 7 starter,Negative,0
I got my MacBook Pro because I wanted to do all the stuff I need to do without worrying about the system quitting on me or freezing for a few minutes .,system,Neutral,1
"It works great for general internet use , Microsoft Office apps , home bookkeeping , etc. .",internet use,Positive,2
"Love the speed , especially !",speed,Positive,2
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company .,company,Negative,0
"Reason why ? It 's because when you buy it , you know first thing that you will not lose any value for that laptop , the price will stay the same for the next year , and even if Apple does decides to change mode , your laptop value will only drop 10-20 % , unlike PC laptops which drop more than 80 % .",value,Positive,2
The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better .,speakers,Negative,0
Its good for playing my apps on Facebook or watching movies .,playing,Positive,2
I had in the past a Dell laptop and they sent me the items it needed or they sent a repair technician to my house to fix it .,repair technician,Positive,2
"Sure , the initial out of pocket expense is greater , but that should not dissuade anyone from the fact that these machines run like none other on the planet , and when I factor in all the money in that I wasted on Geek Squad and the latest patches to de-corrupt my infested PCs , it probably comes out about even anyhow .",run,Positive,2
There was a little difficulty doing the migration as the firewire cable system ca n't be used with the iBook .,firewire cable system,Negative,0
Now I have the best of both worlds with all of the power and ease of the Mac !,ease,Positive,2
"I mainly use it for email , internet , and managing personal files -LRB- pics , vids , etc. -RRB- .",internet,Neutral,1
Nightly my computer defrags itself and runs a virus scan .,virus scan,Neutral,1
"Also , I issued a replacement RMA for a few dead pixels in the upper zone of the screen , which is noticable to me .",screen,Negative,0
I finally decided on this laptop because it was the right price for what I need it .,price,Positive,2
The keyboard has a wonderful nature feel .,keyboard,Positive,2
Was not happy with one of the programs on it .,one of the programs,Negative,0
The only thing I wish is the 15 inch MacBook Pro has much better speakers on the side of the keyboard .,keyboard,Neutral,1
"the touch pad is fine - again , it 's a real touch pad .",touch pad,Positive,2
"Actually , I had noticed the one on the sales floor also did n't have sound !",sound,Negative,0
Returned laptop for a 3rd repair and it came back with previous problems fixed -LRB- except for speaker grill -RRB- but the unit started locking up during use and eventually would not operate at all .,speaker grill,Negative,0
"Only a few days after I received the computer back , the screen froze again .",screen,Negative,0
"It 's applications are terrific , including the replacements for Microsoft office .",applications,Positive,2
With notes saying they replaced the hard drive .,hard drive,Neutral,1
"I have found it very easy to use , very imformative , wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs .",use,Positive,2
"The battery life has not decreased since I bought it , so i 'm thrilled with that .",battery life,Positive,2
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it .,software,Negative,0
"There are several programs for school or office use -LRB- Pages , Numbers , Keynote , etc. -RRB- , music -LRB- Garageband -RRB- , photo management -LRB- Photo Booth , iPhoto -RRB- , video-editing or movie-making -LRB- iMovie -RRB- , etc. .",photo management,Neutral,1
The macbooks are small enough to be very portable yet hold tons of information and performance .,performance,Positive,2
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges .,Windows,Negative,0
"Great battery , speed , display .",battery,Positive,2
The price and features more than met my needs .,price,Positive,2
I 've have n't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off .,plastic piece,Negative,0
Came fully loaded - good .,loaded,Positive,2
"After having two PC laptops die with in the past 3 years , I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues .",design,Positive,2
The i5 blows my desktop out of the water when it comes to rendering videos .,i5,Negative,0
"It is easy to use , good quality and good price .",use,Positive,2
Drivers updated ok but the BIOS update froze the system up and the computer shut down .,system,Negative,0
of course my warranty runs out next month .,warranty,Neutral,1
"It did n't come with any software installed outside of windows media , but for the price , I was very pleased with the condition and the overall product .",windows media,Neutral,1
"they improved nothing else such as Resolution , appearance , cooling system , graphics card , etc. .",Resolution,Negative,0
I 'm tired of the inept service .,service,Negative,0
The only downfall is a lot of the software I have wo n't work with Mac and iWork is not worth the price of it .,price,Negative,0
"But when I received my replacement , I made BOTH recovery DVDs -LRB- 4 -RRB- , and a driver/application DVD .",recovery DVDs,Neutral,1
"And not to mention after using it for a few months or so , the battery will slowly less and less hold a charge until you ca n't leave it unplugged for more than 5 minutes without the thing dying .",battery,Negative,0
"In early May I got it back and this time I only had it back for 1 day before it had a NEW issue so it was sent back in for the 6th time they `` expedited '' the repairs so I was only supposed to have to be without it for 3 days and it was supposed to be fixed , by a `` Senior Tech '' .",Senior Tech,Negative,0
"Garageband is more for the musicians , and the laptop is equipped with a good working microphone , good enough for beginners and musicians at the intermediate level .",Garageband,Neutral,1
Microsoft seems to be unable to keep up with repairs for the multitude of windows problems .,windows,Negative,0
"I had static in the output , and I had to reduce the sound output quality to `` FM '' as opposed to the default `` CD .",sound output quality,Negative,0
Supplied software : The software that comes with this machine is greatly welcomed compared to what Windows comes with .,Supplied software,Neutral,1
super fast processor and really nice graphics card . .,processor,Positive,2
"I am most impressed with the programming , including the iPhoto .",iPhoto,Positive,2
The 13 '' Macbook Pro just fits in my budget and with free shipping and no tax to CA this is the best price we can get for a great product .,budget,Positive,2
"So , I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up .",genius bar staff),Negative,0
"My only disappointment with the 13 '' model is that they 're the only ones in the MacBook Pro line up without an i5 or i7 processor and dual graphics cards , however the trade-off is that you achieve a longer battery life -LRB- of about 2 more hours -RRB- .",graphics cards,Negative,0
-LRB- The iBook backup also uses a firewire connection -RRB- .,iBook backup,Neutral,1
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on .,edges,Negative,0
Like the price and operation .,operation,Positive,2
"There are several programs for school or office use -LRB- Pages , Numbers , Keynote , etc. -RRB- , music -LRB- Garageband -RRB- , photo management -LRB- Photo Booth , iPhoto -RRB- , video-editing or movie-making -LRB- iMovie -RRB- , etc. .",Numbers,Neutral,1
With the macbook pro it comes with free securitysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails .,securitysoftware,Positive,2
The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly .,OS,Positive,2
"It 's so much easier to navigate through the operating system , to find files , and it runs a lot faster !",navigate,Positive,2
Battery life could be better but overall for the price and Toshiba 's reputation for laptops it 's great !,price,Positive,2
"It 's graphics are n't bad at all , for the lower end of the MacBook Pro spectrum , easily capable of running StarCraft II and other games with comparable graphics .",graphics,Positive,2
"Seems to slow down occassionally but can run many applications -LRB- ie Internet tabs , programs , etc -RRB- simultaneously .",Internet tabs,Positive,2
I would like to have volume buttons rather than the adjustment that is on the front .,volume buttons,Negative,0
10 plus hours of battery ...,battery,Positive,2
In the first moth of owning this computer its hardrive failed which had to be replaced .,hardrive,Negative,0
"Another THREE weeks later I had my laptop back with a new mousepad , keys , and casing .",casing,Neutral,1
It has a .1 ghz faster processor and a stock 500gb hard drive .,processor,Positive,2
But the biggest pain is that tech support is not available 24/7 .,tech support,Negative,0
The built in camera is very useful when chatting with other techs in remote buildings on our campus .,built in camera,Positive,2
"The processor screams , and because of the unique way that Apple OSX 16 functions , most of the graphics are routed through the hardware rather than the software .",hardware,Neutral,1
"Setting would change for some reason , the screen size would change on it 's own , like the pixel sizes and whatnot .",pixel sizes,Negative,0
It 's also very capable of doing moderate video editing -LRB- although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing -RRB- .,mobile video editing,Neutral,1
Right size and weight for portability .,portability,Positive,2
With a MAC computer I have more free time as I do n't have to wait for windows to boot up or shut down and all the viruses associated with windows .,boot up,Negative,0
It rarely works and when it does it 's incredibly slow .,works,Negative,0
I can barely use any usb devices because they will not stay connected properly .,usb devices,Negative,0
"If you want a little more custom ability , drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more .",2GB stick of memory,Positive,2
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again .,system board,Negative,0
"The quality , engineering design and warranty are superior -- covers damage from dropping the laptop .",warranty,Positive,2
Like the price and operation .,price,Positive,2
Keys stick periodically and I havent had the laptop for 45 days yet .,Keys,Negative,0
First the screen goes completely out .,screen,Negative,0
"The pro is a great product , I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge -LRB- the edges hurt my wrists -RRB- .",edges,Negative,0
"Yeah , of course smarty pants `` fix it now '' -RRB- Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple -LRB- which I promptly did -RRB- .",inbuilt applications,Negative,0
"they improved nothing else such as Resolution , appearance , cooling system , graphics card , etc. .",cooling system,Negative,0
"I bought a cordless mouse for it , but do n't always take it out ;",cordless mouse,Positive,2
System is loosing about 20 % of performance because of that .,performance,Negative,0
Because he said that the hinge is under the motherboard and they have to dismantle the whole thing before it can be tightened .,motherboard,Neutral,1
Love the stability of the Mac software and operating system .,stability,Positive,2
"Next , most Acer laptop fans are on the bottom which is right on your laptop .",fans,Neutral,1
"Seems to slow down occassionally but can run many applications -LRB- ie Internet tabs , programs , etc -RRB- simultaneously .",programs,Neutral,1
The battery life also does n't keep up with the claim but still I think macbook is much ahead from the rest of the pack .,battery life,Negative,0
There is no number pad to the right of the keyboard which is a bummer .,keyboard,Negative,0
I had the staff telling me older version did not make the fan noise cause it is a `` different '' computer .,fan noise,Negative,0
"I feel that it was poorly put together , because once in a while different plastic pieces would come off of it .",plastic pieces,Negative,0
The built-in webcam is great for Skype and similar video-chat services .,built-in webcam,Positive,2
It seems they could have updated XP and done without creating Vista .,Vista,Negative,0
"Its pretty fast and does not have hiccups while I am using it for web browsing , uploading photos , watching movies -LRB- 720p -RRB- on occasion and creating presentations .",creating presentations,Positive,2
"My dad has one of the very first Toshibas ever made , yes its abit slow now but still works well and i hooked to my ethernet !",ethernet,Positive,2
"The video card is great for media , and above average for gaming , but not a gamers first choice .",gaming,Positive,2
My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit .,GarageBand,Neutral,1
The games included are very good games .,games,Positive,2
"However , I love this particular Mac because its very fast , great size , and has fantastic features like the lighted keyboard and easy mouse pad .",lighted keyboard,Positive,2
So having the AC plug go out on me and get lose or I could actually here it inside my computer on two of the three times is not good .,AC plug,Negative,0
The price is another driving influence that made me purchase this laptop .,price,Positive,2
"I do not experience a lot of heat coming out of it , however I would highly suggest purchasing a stand however , due to the nature of the design of the macbook as it is one very large heat sink .",stand,Neutral,1
Unless you need the Bluetooth 3 .,Bluetooth 3,Neutral,1
"Took me 11 hours , 3 trips to different FedEx offices , and brutal conversations with 14 of the worse IT support technicians in the world .",IT support technicians,Negative,0
The MacBook is way too overpriced for something so simple and chaotic .,overpriced,Negative,0
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well .,Office,Negative,0
Keyboard was also very nice and had a solid feel .,Keyboard,Positive,2
The Aspire wont even boot past the Acer screen with a Droid -LRB- I have tried both Motorola and HTC -RRB- plugged into the USB port .,Acer screen,Negative,0
"As a lifelong Windows user , I was extremely pleased to make the change to Mac .",Windows,Negative,0
"Some features arent friendly -LRB- volume wheel , sound quality , etc. .",sound quality,Negative,0
Had some trouble finding a case that it would fit in .,case,Negative,0
"Overall , this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from .",design,Positive,2
"Yes , I thought the expese was a little much , but I now realize you get what you pay for .",expese,Negative,0
in May I started having problems with the USB ports not working .,USB ports,Negative,0
"After numerous attempts of trying -LRB- including setting the clock in BIOS setup directly -RRB- , I gave up -LRB- I am a techie -RRB- .",clock in BIOS setup,Negative,0
"However , I love this particular Mac because its very fast , great size , and has fantastic features like the lighted keyboard and easy mouse pad .",size,Positive,2
"Of course , I inspected the other netbooks and clearly their hinges are tighter and I even demonstrate the difference between my netbook and others .",hinges,Negative,0
"They sent out the box right away for me to send in my computer , they paid postage and whatnot , but when I got my computer back it still was n't running right , and now my CD drive was n't reading anything !",running,Negative,0
"In addition , all the design tools on Pages and Keynotes makes it much easier to create professional looking documents and presentations .",Keynotes,Positive,2
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers .,features,Positive,2
"The Mac Snow Leopard O/S is extremely easy to use , although very different than Win XP , Visa or Win7 .",Win XP,Neutral,1
"If your time is worth anything to you , if you are tired of rebooting , reformatting , reinstalling , trying to find drivers , if you want a computer to work for you for a change , make the change to this computer .",drivers,Negative,0
Take your time and go through the tutorials patiently .,tutorials,Neutral,1
"After numerous calls to Applecare tech support , I was directed to send in my computer ;",Applecare tech support,Negative,0
"Overall I feel this netbook was poor quality , had poor performance , although it did have great battery life when it did work .",performance,Negative,0
I ca n't say enough of how satisfied I am with their product and help aftermarket .,product and help aftermarket,Positive,2
I had it four months when my disc drive refused to open .,disc drive,Negative,0
I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION .,ASUS TECH SUPPORT,Negative,0
"Great Laptop for the price , works well with action pack games .",price,Positive,2
"The screen is huge and coloful , but no LED backlighting .",screen,Positive,2
"There are several programs for school or office use -LRB- Pages , Numbers , Keynote , etc. -RRB- , music -LRB- Garageband -RRB- , photo management -LRB- Photo Booth , iPhoto -RRB- , video-editing or movie-making -LRB- iMovie -RRB- , etc. .",movie-making,Neutral,1
The speed is incredible and I am more than satisfied .,speed,Positive,2
We figure that after everything HIS pc actually ended up costing $ 350 more than my original Mac .,costing,Negative,0
For me I was lucky and a local store was selling them for $ 2000 off and Best Buy matched their price so I was able to buy one for under $ 100Negative,price,Positive,2
"I get a ton of compliments on its size , and speaking as someone who regularly commutes on a bus , I can attest to the fact that this is the perfect size computer if you 're restricted to the width of your body for computing room .",size,Positive,2
This time the mouse pad and right click key would n't work !,mouse pad,Negative,0
"The hard drive crashed as well , and I had to buy a new power cord .",power cord,Negative,0
"In fact , somehow -LRB- and I never opened it up -RRB- some specks of dust or something got inside the screen and are now there permanently , behind the front of the screen , in the way of the display .",screen,Negative,0
Strengths : Well - shaped Weaknesses : A bad videocard !,shaped,Positive,2
"The screen graphics and clarity , and sharpness are great .",clarity,Positive,2
"The screen is framed by half - to a full-inch margin that is obviously unnecessary , reduces the screen size and increases the bulk .",bulk,Negative,0
"Needs Power and Mouse Cable to Plug in back instead of side , In the way of operating a mouse in small area .",mouse,Negative,0
I need graphic power to run my Adobe Creative apps efficiently .,Adobe Creative apps,Neutral,1
"It 's not a wear-and-tear issue , not due to user carelessness and most importantly , they CA N'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome .",service,Negative,0
It 's also fairly easy to use the Operating System .,Operating System,Positive,2
Although i do believe that Windows operating system may be to fault for some of the problems .,Windows operating system,Negative,0
"I had my IWORKS , Itunes , Email , MS Office , network and printers set up and completely working perfectly within an hour .",MS Office,Positive,2
The capabilities using that program alone made me want a Mac .,program,Positive,2
Sells for the same as a netbook without sacrificing size .,size,Positive,2
I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive .,operating systems,Negative,0
"I am not much of a computer techie , so I can understand some of the internal problems , though I do have trend micro as an antiviral program .",trend micro,Neutral,1
"The Mac Snow Leopard O/S is extremely easy to use , although very different than Win XP , Visa or Win7 .",Win7,Neutral,1
"Being a PC user my whole life , it 's taking a bit of time to adapt to the OS of a Mac but I 'm finding my way around .",OS,Neutral,1
"In November my computer messed up entirely and would n't power on after intalling a Windows update , I had to have my HD flashed and lost EVERYTHING on it , including my school assignments and irriplaceable pictures that were only in digital format and several other things , when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history .",drivers,Negative,0
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor .,ports,Neutral,1
"The screen graphics and clarity , and sharpness are great .",screen graphics,Positive,2
"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic , not to mention the laptop was designed for right handed person .",touch-pad,Neutral,1
It is sleek and lightweight and charges quickly when needed .,charges,Positive,2
"Also , HDD secures inside using rails , and there is only one set on the main hard drive .",hard drive,Neutral,1
Not to mention the fact that your mac comes fully loaded with all necessary basic programs .,programs,Positive,2
I purchased a Toshiba Satellite M60 -LRB- with harman/kardon speakers ! -RRB- in December of 2005 .,speakers,Positive,2
Even though the computer is larger they did not make the keyboard larger .,keyboard,Negative,0
The computer will constantly be getting hot and burning your leg unless you go through the hassle of taking off the entire back of it just to clean out the fan .,fan,Negative,0
"The speed difference is next to NOTHING for a mac , and the hard drive can be manually upgraded or you could just buy a $ 60 500gb external hard drive .",500gb external hard drive,Neutral,1
"The system constantly overheats , the battery life is too short , the case is coming apart , and my core applications that I use every day in my work as a graphic artist run poorly .",core applications,Negative,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I did n't like the trackpad .,external mouse,Neutral,1
"Navigation through the computer is far superior compared to Windows operating systems , as well .",Windows operating systems,Negative,0
"But sitting on a lap or on a desk in front of you it looks more than big enough -LRB- this could be because Im used to my Lenovo 10 tablet now -RRB- plus this is a great size if I want to unplug the external keyboard , mouse , and monitor to take it with me when I take photos and video .",external keyboard,Neutral,1
"Whenever tried to turn it on , it would restart as soon as the BIOS launched Windows -LRB- or Winblows , as I like ot call it -RRB- .",Windows,Negative,0
This time the mouse pad and right click key would n't work !,right click key,Negative,0
"I think part of the problem with this computer is Vista , yet I know Vista is n't the entire issue because my latest purchase was my Acer and it also has Vista -LRB- I should have waited the few months to get the next operating system -RRB- .",operating system,Neutral,1
"But , buy this model and just purchase 4GB of RAM -LRB- 2x2GB for $ 92 or 1x4GB for $ 99 -RRB- , and save yourself $ 100 than the other model with 8GB of RAM .",4GB of RAM,Neutral,1
It drives me crazy when I want to download a game or something of that nature and I ca n't play it because its not compatable with the software .,software,Negative,0
I would like at least a 4 hr . battery life .,battery life,Neutral,1
"It absolutely is more expensive than most PC laptops , but the ease of use , security , and minimal problems that have arisen make it well worth the pricetag .",use,Positive,2
"Called Acer many times , they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer !",repair center,Neutral,1
