text,condition,label,score
"great friendly service , fast seating , fast delivery , excellent sushi .",sushi,Positive,2
the scallion pancakes and fried dumplings were nothing out of the ordinary .,fried dumplings,Neutral,1
this is a nice pizza place with good selection of thin crust pizza including the basil slice .,basil slice,Positive,2
"the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .",atmosphere,Positive,2
the food is amazing ... especially if you get the chef 's tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,selection of wines,Positive,2
the food was lousy - too sweet or too salty and the portions tiny .,food,Negative,0
saul is the best restaurant on smith street and in brooklyn .,saul,Positive,2
i recently went to this restaurant with some co - workers for lunch and had an amazing time .,restaurant,Positive,2
skip dessert .,dessert,Negative,0
i can not imagine a friendlier staff working in a restaurant .,staff,Positive,2
"the food was very good , a great deal , and the place its self was great .",food,Positive,2
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .,bagels,Positive,2
try green curry with vegetables .,green curry with vegetables,Positive,2
"the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un - appetizing , and kills your effort to make this place look sleek and modern .",place,Negative,0
"i went to areo on a sunday afternoon with four of my girlfriends , and spent three enjoyable hours there .",areo,Positive,2
i 'm glad i was introduced to this place and this is a rare gem in ny .,place,Positive,2
"the food is good , especially their more basic dishes , and the drinks are delicious .",drinks,Positive,2
"the food is good , especially their more basic dishes , and the drinks are delicious .",food,Positive,2
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan .,feel,Positive,2
rao 's has the best service and atmosphere in nyc .,atmosphere,Positive,2
i thanked my friend who recommended me this restaurant and will certainly recommend it to others .,restaurant,Positive,2
"well , this place is so ghetto its not even funny .",place,Negative,0
very affordable and excellent ambient !,ambient,Positive,2
bottles of wine are cheap and good .,bottles of wine,Positive,2
"i had their eggs benedict for brunch , which were the worst in my entire life , i tried removing the hollondaise sauce completely that was how failed it was .",eggs benedict,Negative,0
"please take my advice , go and try this place .",place,Positive,2
ingredients are organic which is a real plus for me .,ingredients,Positive,2
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .,grilled chicken special with edamame puree,Positive,2
the food is authentic italian - delicious !,food,Positive,2
i would highly recommend this place !,place,Positive,2
the sushi seemed pretty fresh and was adequately proportioned .,sushi,Positive,2
"sometimes i get bad food and bad service , sometimes i get good good and bad service .",food,Negative,0
"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",service,Positive,2
"the lamb was tender so full of flavor , the dessert was divine ! !",dessert,Positive,2
"i am not a vegetarian but , almost all the dishes were great .",dishes,Positive,2
but the service was a bit slow .,service,Negative,0
the staff is no nonsense .,staff,Positive,2
the people that work there are always so friendly you forget you are in new york sometimes .,people,Positive,2
go here for the drinks !,drinks,Positive,2
"thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up .",people,Positive,2
i ate here a week ago and found most dishes average at best and too expensive .,dishes,Negative,0
"the food was average to above - average ; the french onion soup filling yet not overly impressive , and the desserts not brilliant in any way .",food,Positive,2
"small servings for main entree , i had salmon ( was nt impressed ) girlfriend had chicken , it was good .",salmon,Negative,0
"delicate spices , onions , eggs and a kick - ass roti .",eggs,Positive,2
rao 's has the best service and atmosphere in nyc .,service,Positive,2
"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",grilled branzino,Negative,0
the food is excellent !,food,Positive,2
my friend devoured her chicken and mashed potatos .,chicken and mashed potatos,Positive,2
the service was attentive .,service,Positive,2
"for the people who want great food plus great service , roxy is a place to avoid !",service,Negative,0
"good music , great food , speedy service affordable prices .",music,Positive,2
"however , if you want great food at a great price and do n't mind the decor , you ca n't beat this place .",food,Positive,2
and evaluated on those terms pastis is simply wonderful .,pastis,Positive,2
"rao is a good restaurant , but it 's nothing special .",rao,Neutral,1
sometimes i get good food and ok service .,food,Positive,2
"i like cafe noir do nt get me wrong , it is jsut that the people who work there are evil and incompetent ! !",people,Negative,0
the pizza is delicious and the proprietor is one of the nicest in nyc .,proprietor,Positive,2
"when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",waiter,Positive,2
there is a downside if you 're ordering in -- the delivery guys have major attitude .,delivery guys,Negative,0
"we love the food , drinks , and atmosphere !",atmosphere,Positive,2
i have been to roth 's twice and both times were very disappointing .,roth 's,Negative,0
"i like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",dhosas,Negative,0
definitely a great spot for a nice occasion or date .,spot,Positive,2
this place is the most japanese it can ever get .,place,Positive,2
"the service was attentive , yet discreet .",service,Positive,2
"the food is yummy , especially their cooked - to - perfection mussels in spicy tomato sauce and their shoestring crispy fries .",food,Positive,2
i absolutely love this place ! ! !,place,Positive,2
i really loved the different and inovated touch that 's the cheff gives to the food .,cheff,Positive,2
the price is reasonable although the service is poor .,service,Negative,0
and really large portions .,portions,Positive,2
i have lived in japan for 7 years and the taste of the food and the feel of the restaurant is like being back in japan .,food,Positive,2
the pizza and wine were excellent - the service too -- but what really made this place was the backyard dining area .,pizza,Positive,2
if you want something really different than try jekyll and hyde .,jekyll and hyde,Positive,2
"both times i was extremely dissappointed by the service , which was boarderline rude .",service,Negative,0
i asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere !,manager,Negative,0
"most importantly , food is excellent .",food,Positive,2
"this is the perfect spot for meeting friends , having lunch , dinner , pre - theatre or after - theatre drinks !",spot,Positive,2
a thai restaurant out of rice during dinner ?,thai restaurant,Negative,0
the exotic food is beautifully presented and is a delight in delicious combinations .,exotic food,Positive,2
the wine list is also really nice .,wine list,Positive,2
great pizza for lunch place .,pizza,Positive,2
i 'm partial to the gnocchi .,gnocchi,Positive,2
service is not what one would expect from a joint in this price category .,service,Negative,0
you can not go wrong at the red eye grill .,red eye grill,Positive,2
great indian food and the service is incredible .,service,Positive,2
you should pass on the calamari .,calamari,Negative,0
"we ate out in the back patio , which is worth it as it 's cool and the music is hear well there .",back patio,Positive,2
"i 've also been amazed at all the new additions in the past few years : a new jazz bar , the most fantastic dining garden , the best thin crust pizzas , and now a lasagna menu which is to die for ( these are not your average lasagnas ) !",lasagna menu,Positive,2
"the anti - pasta was excellent , especially the calamari , as were the filling pasta mains .",calamari,Positive,2
i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,lobster roll,Positive,2
everything about this restaurant was special .,restaurant,Positive,2
"food was very good , but not what i would consider out of this world .",food,Neutral,1
"ambience is delightful , service impeccable .",ambience,Positive,2
"overall , excellent restaurant !",restaurant,Positive,2
with the theater 2 blocks away we had a delicious meal in a beautiful room .,room,Positive,2
simply some good tasting chinese food at incredible prices ...,chinese food,Positive,2
the staff is incredibly helpful and attentive .,staff,Positive,2
the place is small and cramped but the food is fantastic .,place,Negative,0
"the vibe is very relaxed and cozy , service was great and the food was excellent !",service,Positive,2
"the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i 've ever had ) .",lamb sausages,Positive,2
what a great place .,place,Positive,2
"yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",ingredients,Positive,2
"one would think we 'd get an apology or complimentary drinks - instead , we got a snobby waiter would n't even take our order for 15 minutes and gave us lip when we asked him to do so .",waiter,Negative,0
"try the congee and the donut like deep fried dough they call ow ley soh , a delicious and sweet tasting bread .",ow ley soh,Positive,2
"however , if you want great food at a great price and do n't mind the decor , you ca n't beat this place .",food,Positive,2
"the decor is night tho ... but they really need to clean that vent in the ceiling ... its quite un - appetizing , and kills your effort to make this place look sleek and modern .",vent,Negative,0
mizu is the japenese find in grammercy .,mizu,Positive,2
i take all my nyc guests to vt 's .,vt 's,Positive,2
the place 's decor and hidden bathrooms made for a good laugh .,hidden bathrooms,Positive,2
enjoyed a very nice caesar salad while my wife had arugula and goat cheese .... both very tasty .,caesar salad,Positive,2
the service was excellent - friendly and attentive .,service,Positive,2
i go and eat out at many different restaurants and this is one place you have go and try .,place,Positive,2
"service was slow , but the people were friendly .",people,Positive,2
we had pam 's special fried fish and it was amazing .,pam 's special fried fish,Positive,2
"the mussles were the fishiest things i 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... it was disgusting .",mussles,Negative,0
this place is worth an one - hour drive .,place,Positive,2
the location and ambience is ok but the food is what makes up for it .,food,Positive,2
ravioli was good ... but i have to say that i found everything a bit overpriced .,ravioli,Positive,2
finally a reliable chinese restaurant !,chinese restaurant,Positive,2
i really like both the scallops and the mahi mahi ( on saffron risotto -yum ! ) .,mahi mahi ( on saffron risotto,Positive,2
"consequently , their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them .",burgers,Negative,0
"be sure to try the seasonal , and always delicious , specials .",specials,Positive,2
"calling the place hampton chutney co. does warn you that these folks offer more style than substance , but in this unattractive room with unhelpful clerks there was a dearth of the former too .",room,Negative,0
"for the people who want great food plus great service , roxy is a place to avoid !",food,Negative,0
"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",ceviche mix ( special ),Positive,2
"the ambience is pretty and nice for conversation , so a casual lunch here would probably be best .",ambience,Positive,2
"thalia is a beautiful restaurant with beautiful people serving you , but the food does n't quite match up .",thalia,Positive,2
i am reluctant to write because i would not want my jem of a pizza place to become overcrowded .,pizza place,Positive,2
the location is perfect .,location,Positive,2
best drumsticks over rice and sour spicy soup in town !,sour spicy soup,Positive,2
"excellent dumplings served amid clean , chic decor .",decor,Positive,2
"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .",congee,Positive,2
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .",pumkin tortelini,Positive,2
indoor was very cozy and cute .,indoor,Positive,2
it 's a perfect place to have a amanzing indian food .,indian food,Positive,2
"the staff was accomodating , the food was absolutely delicious and the place is lovely .",staff,Positive,2
they have authentic indian at amazin prices .,indian,Positive,2
"service was very good - prompt , attentive and non - intrusive .",service,Positive,2
the place is so cool and the service is prompt and curtious .,place,Positive,2
i have never been disappointed in the red eye .,red eye,Positive,2
the restaurant looks out over beautiful green lawns to the hudson river and the statue of liberty .,restaurant,Positive,2
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .",service,Positive,2
the service was excellent and the food was delicious .,service,Positive,2
the takeout is great too since they give high quality tupperware as well .,takeout,Positive,2
great food and the prices are very reasonable .,food,Positive,2
"ask for usha , the nicest bartender in manhattan .",usha,Positive,2
"the sandwiches are dry , tasteless and way overpriced .",sandwiches,Negative,0
spreads and toppings are great - though a bit pricey .,spreads,Positive,2
"fabulous decor - makes you feel like you 're in a trendy manhattan restaurant , very very good food , cheaply - priced , generally friendly staff , and if you 're a manhattanite , or spend most of your time in manhattan , rice avenue will make you feel at home ..... very soho / village / upper west side minus the expensive prices and pretentious clientele ..... all on roosevelt avenue !",staff,Positive,2
i highly recommend visiting this restaurant and having dinner and drinks !,restaurant,Positive,2
"the first time the sushi was outstanding , the second time it was a little bland .",sushi,Positive,2
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",service,Positive,2
"this tiny restaurant is as cozy as it gets , with that certain parisian flair .",restaurant,Positive,2
"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",specials menus,Positive,2
the place itself is beautiful the bar scene seems to be happening .,bar scene,Positive,2
we went around 9:30 on a friday and it had died down a bit by then so the service was great !,service,Positive,2
the food is great and they have a good selecion of wines at reasonable prices .,wines,Positive,2
"not only is the cuisine the best around , the service has always been attentive and charming .",service,Positive,2
"the blond wood decor is very soothing , the premium sake is excellent and the service is great .",service,Positive,2
"great friendly service , fast seating , fast delivery , excellent sushi .",service,Positive,2
"whenever you need a sushi fix , mizu will be there with quality fish and great service .",fish,Positive,2
this was my frist time at cafe st. bart 's and i must say how delicous the food and the service was .,food,Positive,2
"two complaints- their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .",appetizer selection,Negative,0
but who says murray 's is anything about service .,service,Negative,0
love pizza 33 ..,pizza 33,Positive,2
salads are a delicious way to begin the meal .,salads,Positive,2
"first of all , this place is * not * romantic , as claimed by citysearch 's editorial review .",place,Negative,0
the food was delicious but do not come here on a empty stomach .,food,Positive,2
the pizza was delivered cold and the cheese was n't even fully melted !,pizza,Negative,0
"the seafood is amazing , there 's a good wine list , and the ever - changing menu always offers some great surprises .",seafood,Positive,2
"delicate spices , onions , eggs and a kick - ass roti .",onions,Positive,2
"yes , they use fancy ingredients , but even fancy ingredients do n't make for good pizza unless someone knows how to get the crust right .",crust,Negative,0
not impressed with the food .,food,Negative,0
"fabulous decor - makes you feel like you 're in a trendy manhattan restaurant , very very good food , cheaply - priced , generally friendly staff , and if you 're a manhattanite , or spend most of your time in manhattan , rice avenue will make you feel at home ..... very soho / village / upper west side minus the expensive prices and pretentious clientele ..... all on roosevelt avenue !",food,Positive,2
"my husband said he could 've eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",portion,Positive,2
"the atmosphere is unheralded , the service impecible , and the food magnificant .",service,Positive,2
atmosphere is nice and relaxed too ...,atmosphere,Positive,2
"guacamole+shrimp appetizer was really great , we both had the filet , very good , did n't much like the frites that came with , but the filet was so good , neither of us cared .",guacamole+shrimp appetizer,Positive,2
the characters really make for an enjoyable experience .,characters,Positive,2
the only fallback on this restaurant is the prices .,restaurant,Negative,0
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .,new england chowder,Positive,2
"just straight up cheap , good food .",food,Positive,2
cheese plate is a varied delight and great bargain at $ 10 .,cheese plate,Positive,2
i have been to casimir over 5 times and i have always had a great time there .,casimir,Positive,2
"everytime i decide to try another place on the ues , i get angry that i did n't just go to zucchero pomodori .",zucchero pomodori,Positive,2
honestly the worst sushi my husband and i had in our entire lives .,sushi,Negative,0
we were greeted promptly by the waiter who was very nice and cordial .,waiter,Positive,2
"the service varys from day to day- sometimes they 're very nice , and sometimes not .",service,Negative,0
fresh restaurant was amazing ........ food was delicious and of course fresh .,fresh restaurant,Positive,2
food was good and the view of the new york city skiline was terrific even on a foggy rainy day like that of when i went .,food,Positive,2
it 's simply the best meal in nyc .,meal,Positive,2
"food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .",pork belly,Negative,0
it 's all about the food ! !,food,Positive,2
big wong is a great place to eat and fill your stomach .,big wong,Positive,2
"to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora .",teodora,Negative,0
as always we had a great glass of wine while we waited .,glass of wine,Positive,2
"excellent dumplings served amid clean , chic decor .",dumplings,Positive,2
"if you are the type of person who likes being scared and entertained , this is a great place to go and eat .",place,Positive,2
$ 20 for all you can eat sushi can not be beaten .,all you can eat sushi,Positive,2
the wine list is interesting and has many good values .,wine list,Positive,2
"great friendly service , fast seating , fast delivery , excellent sushi .",seating,Positive,2
"you can get a completely delish martini in a glass ( that 's about 2 1/2 drinks ) for $ 8.50 ( i recommend the vanilla shanty , mmmm ! ) in a great homey setting with great music .",setting,Positive,2
i highly recommend to anyone to give this place a try .,place,Positive,2
"we did tip , i guess the model/ waitress just wanted more and complained to the manager .",waitress,Negative,0
i thought this place was totally overrated .,place,Negative,0
you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,crabmeat lasagna,Positive,2
"the atmosphere is n't the greatest , but i suppose that 's how they keep the prices down .",atmosphere,Negative,0
check out the secret back room .,back room,Positive,2
great indian food and the service is incredible .,indian food,Positive,2
not sure why this restaurant would be rated that highly .,restaurant,Negative,0
the drinks are always welll made and wine selection is fairly priced .,wine selection,Positive,2
"most of the servers are very attentive , friendly and quite attractive .",servers,Positive,2
love the food .,food,Positive,2
the menu is limited but almost all of the dishes are excellent .,dishes,Positive,2
"i 've also been amazed at all the new additions in the past few years : a new jazz bar , the most fantastic dining garden , the best thin crust pizzas , and now a lasagna menu which is to die for ( these are not your average lasagnas ) !",jazz bar,Positive,2
the duck confit is always amazing and the foie gras terrine with figs was out of this world .,foie gras terrine with figs,Positive,2
"we love the food , drinks , and atmosphere !",drinks,Positive,2
food is great and inexpensive .,food,Positive,2
"however , i think this place is a good hang out spot .",place,Positive,2
my friend got the mushroom pizza which tasted better .,mushroom pizza,Positive,2
"great food , good size menu , great service and an unpretensious setting .",setting,Positive,2
although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat .,place,Positive,2
the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,bagel,Negative,0
the setting is casual and romantic .,setting,Positive,2
"the entree was bland and small , dessert was not inspired .",dessert,Negative,0
"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",jelly fish,Positive,2
the cream cheeses are out of this world and i love that coffee ! !,cream cheeses,Positive,2
decor is nice though service can be spotty .,decor,Positive,2
the service was friendly and the atmosphere was casual .,atmosphere,Neutral,1
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .,service,Positive,2
i stumbled upon this great pizzeria as i explored my new neighborhood .,pizzeria,Positive,2
we were seated outside and the waiter spilled red wine and hot tea on myself and my date .,waiter,Negative,0
drinks way over priced .,drinks,Negative,0
i am happy i did the food was awsome .,food,Positive,2
the wine list is extensive and can easily hike up an otherwise reasonably priced meal .,wine list,Positive,2
"i 've been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .",cafe spice,Positive,2
"food was just average ... if they lowered the prices just a bit , it would be a bigger draw .",food,Neutral,1
"the chicken pot pie is excpetiona , the cheeseburger huge and delictable , and the service professional wan warm .",service,Positive,2
the pizza is overpriced and soggy .,pizza,Negative,0
"those rolls were big , but not good and sashimi was n't fresh .",rolls,Neutral,1
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",food,Positive,2
"delicate spices , onions , eggs and a kick - ass roti .",spices,Positive,2
"even though its good seafood , the prices are too high .",seafood,Positive,2
great pizza and fantastic service .,pizza,Positive,2
the cold appetizer dishes taste like the way i remember them to taste when i was growing up in taiwan .,cold appetizer dishes,Positive,2
my wife and i ate here earlier this week and have not stopped ranting and raving about the food .,food,Positive,2
"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",sushi,Positive,2
very good wine choices .,wine choices,Positive,2
this little place has a cute interior decor and affordable city prices .,place,Positive,2
"i found the food , service and value exceptional everytime i have been there .",service,Positive,2
the food was average or above including some surprising tasty dishes .,dishes,Positive,2
this is my first time writing a review for a restaurant because the food and service was excellent .,food,Positive,2
"i come from a family of pizzeria owners , and i 'm almost ashamed to say that the pizza in fornino 's blows my families receipies away .",pizza,Positive,2
"judging from previous posts this used to be a good place , but not any longer .",place,Negative,0
the pizza and wine were excellent - the service too -- but what really made this place was the backyard dining area .,wine,Positive,2
price and quality of fish alone will keep us from making a return visit .,fish,Negative,0
the location and ambience is ok but the food is what makes up for it .,location,Neutral,1
i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side .,service,Negative,0
i highly recommend the sophia pizza .,sophia pizza,Positive,2
"moules were excellent , lobster ravioli was very salty !",moules,Positive,2
"great friendly service , fast seating , fast delivery , excellent sushi .",delivery,Positive,2
but the pizza is way to expensive .,pizza,Negative,0
the design and atmosphere is just as good .,design,Positive,2
first of all dal bukhara rocks .,dal bukhara,Positive,2
my wife had the fried shrimp which are huge and loved it .,fried shrimp,Positive,2
"the vibe is very relaxed and cozy , service was great and the food was excellent !",food,Positive,2
"raga 's is a romantic , cozy restaurant .",raga 's,Positive,2
nice family owned traditional restaurant .,restaurant,Positive,2
"when you 're sitting in their main dining room ( which has a spectacular , hand - painted high ceiling ) you 'd never know there was a world outside .",ceiling,Positive,2
"my husband and i thougt it would be great to go to the jekyll and hyde pub for our anniversary , and to our surprise it was fantastic .",jekyll and hyde pub,Positive,2
the lava cake dessert was incredible and i recommend it .,lava cake dessert,Positive,2
the waitress was very patient with us and the food is phenomenal !,food,Positive,2
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,atmosphere,Negative,0
the food was good .,food,Positive,2
right off the l in brooklyn this is a nice cozy place with good pizza .,pizza,Positive,2
"with so many good restaurants on the uws , i do n't need overpriced food , absurdly arrogant wait - staff who do n't recognize they work at a glorified diner , clumsy service , and management that does n't care .",service,Negative,0
"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm ..... everything is just delicious .",marinara / arrabiatta sauce,Positive,2
"my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good ... not outstanding , but good .",dim sum,Neutral,1
